timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737031947.5937085, 1737031947.7292497, 1737031947.9138956, 1737031948.0844688, 1737031948.2402227, 1737031948.40629]",1737031948.661111,1737031948.6613424,1737031951.0649986,1737031951.0840828,1737031951.2147348,1.0,6,0.766747236251831,0.13334989547729492,0.14734292030334473,0.35776829719543457,0.28485631942749023,0.2475433349609375,"[0.10901761054992676, 0.17810273170471191]",110126,"[5286048, 328488, 540840]","[48.0, 2.9828378402920293, 4.911101828814267]",1737031951
"[1737031948.6565979, 1737031948.8212702, 1737031949.0092843, 1737031949.1635396, 1737031949.358485, 1737031949.5210497]",1737031949.604781,1737031949.6049137,1737031951.8123987,1737031951.824501,1737031952.0089242,1.0,6,0.5424323081970215,0.1051492691040039,0.0633234977722168,0.6921968460083008,0.6807734966278076,0.22055387496948242,"[0.10960936546325684, 0.1744685173034668]",108671,"[5216208, 318096, 527376]","[48.0, 2.927147076957054, 4.8529598512942735]",1737031952
"[1737031949.602015, 1737031949.7766273, 1737031949.958969, 1737031950.0595188, 1737031950.2418964, 1737031950.4097989]",1737031950.6669064,1737031950.667705,1737031952.9708216,1737031952.9800837,1737031953.0101585,1.0,6,0.9109177589416504,0.12648344039916992,0.06441521644592285,0.18838763236999512,0.287137508392334,0.24460911750793457,"[0.13487482070922852, 0.21758365631103516]",123106,"[5909088, 405264, 667536]","[48.0, 3.2919922668269623, 5.422448946436404]",1737031953
"[1737031950.6600566, 1737031950.805786, 1737031950.9750948, 1737031951.1278963, 1737031951.3410392, 1737031951.4975188]",1737031951.7970273,1737031951.80757,1737031953.571927,1737031953.5789897,1737031954.0128248,1.0,6,0.264176607131958,0.1162421703338623,0.032471418380737305,0.6810545921325684,0.8373925685882568,0.19077301025390625,"[0.0992422103881836, 0.16539788246154785]",106437,"[5108976, 298776, 496472]","[48.0, 2.8070689703768426, 4.664468183056644]",1737031954
