timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1736609933.458967, 1736609933.6903818, 1736609933.9325347, 1736609934.197206]",1736609934.5419183,1736609934.5428853,1736609936.4726868,1736609936.4825232,1736609936.5989337,1.0,4,0.5368361473083496,0.0406956672668457,0.05315256118774414,0.20439696311950684,0.14875245094299316,"[0.36647939682006836, 0.3732879161834717]","[0.052033424377441406, 0.09064364433288574]",51994,"[16, 16, 16]","[0.00030772781474785554, 0.00030772781474785554, 0.00030772781474785554]",1736609936
"[1736609934.5284448, 1736609934.8139365, 1736609934.999146, 1736609935.283728]",1736609935.5404367,1736609935.5418417,1736609937.161719,1736609937.1703913,1736609937.1789992,1.0,4,0.33151960372924805,0.0971987247467041,0.07550811767578125,0.23488283157348633,0.22553396224975586,"[0.24849867820739746, 0.2310473918914795]","[0.07920336723327637, 0.12631678581237793]",86471,"[16, 16, 16]","[0.00018503313249528745, 0.00018503313249528745, 0.00018503313249528745]",1736609937
"[1736609935.5273325, 1736609935.8009405, 1736609936.0503576, 1736609936.3046]",1736609936.472974,1736609936.4730632,1736609938.054271,1736609938.0633056,1736609938.0788715,1.0,4,0.4921126365661621,0.04668712615966797,0.2003791332244873,0.15204119682312012,0.30672717094421387,"[0.22391676902770996, 0.2188723087310791]","[0.09264421463012695, 0.12852859497070312]",90170,"[16, 16, 16]","[0.00017744260840634357, 0.00017744260840634357, 0.00017744260840634357]",1736609938
"[1736609936.4685018, 1736609936.7392905, 1736609936.921029, 1736609937.2220426]",1736609937.4818587,1736609937.4820082,1736609938.9281805,1736609938.9372954,1736609939.0201876,1.0,4,0.5608985424041748,0.021876096725463867,0.07269001007080078,0.1856708526611328,0.15763306617736816,"[0.19495701789855957, 0.19429373741149902]","[0.07265877723693848, 0.11885643005371094]",82166,"[16, 16, 16]","[0.0001947277462697466, 0.0001947277462697466, 0.0001947277462697466]",1736609939
"[1736609937.4740038, 1736609937.769438, 1736609937.9711134, 1736609938.2506561]",1736609938.5194492,1736609938.5209818,1736609939.9616284,1736609939.9720006,1736609940.0167804,1.0,4,0.40299057960510254,0.026619911193847656,0.09130001068115234,0.16993260383605957,0.1711728572845459,"[0.20652413368225098, 0.21773958206176758]","[0.08211517333984375, 0.13837146759033203]",97715,"[16, 16, 16]","[0.00016374149311774037, 0.00016374149311774037, 0.00016374149311774037]",1736609940
"[1736609938.5162158, 1736609938.7954834, 1736609939.0098267, 1736609939.2659354]",1736609939.5205193,1736609939.520724,1736609940.9285517,1736609940.9364057,1736609941.0151284,1.0,4,0.4443953037261963,0.027794837951660156,0.07158803939819336,0.15314674377441406,0.1643977165222168,"[0.1984269618988037, 0.21199631690979004]","[0.07459092140197754, 0.1270895004272461]",91606,"[16, 16, 16]","[0.00017466104840294303, 0.00017466104840294303, 0.00017466104840294303]",1736609941
"[1736609939.5156393, 1736609939.7956064, 1736609940.0356655, 1736609940.2790542]",1736609940.5849655,1736609940.5877843,1736609942.0735333,1736609942.079252,1736609942.0883074,1.0,4,0.47730350494384766,0.02419424057006836,0.07746577262878418,0.17088055610656738,0.16648149490356445,"[0.17835187911987305, 0.3390650749206543]","[0.06735372543334961, 0.13483381271362305]",84536,"[16, 16, 16]","[0.00018926847733509984, 0.00018926847733509984, 0.00018926847733509984]",1736609942
"[1736609940.5228353, 1736609940.8146596, 1736609941.0214562, 1736609941.2361555]",1736609941.5097506,1736609941.509857,1736609943.1767223,1736609943.1850343,1736609943.195024,1.0,4,0.47770094871520996,0.026163816452026367,0.05087924003601074,0.19151616096496582,0.15906524658203125,"[0.2513110637664795, 0.31045985221862793]","[0.10531044006347656, 0.15685439109802246]",110571,"[16, 16, 16]","[0.00014470340324316503, 0.00014470340324316503, 0.00014470340324316503]",1736609943
"[1736609941.5073893, 1736609941.7750442, 1736609941.9767148, 1736609942.253479]",1736609942.4706602,1736609942.470807,1736609943.9629347,1736609943.9697273,1736609944.0154574,1.0,4,0.4787161350250244,0.0363311767578125,0.23661470413208008,0.16507840156555176,0.3204784393310547,"[0.17594385147094727, 0.16554880142211914]","[0.10332536697387695, 0.1123964786529541]",83280,"[16, 16, 16]","[0.00019212295869356388, 0.00019212295869356388, 0.00019212295869356388]",1736609944
"[1736609942.4685848, 1736609942.7160609, 1736609942.9926534, 1736609943.211992]",1736609943.5137002,1736609943.5139215,1736609944.806699,1736609944.8102276,1736609945.0109818,1.0,4,0.47304677963256836,0.025271892547607422,0.08502197265625,0.15967750549316406,0.16596579551696777,"[0.1588432788848877, 0.17827963829040527]","[0.06735420227050781, 0.11266207695007324]",69549,"[16, 16, 16]","[0.0002300536312527858, 0.0002300536312527858, 0.0002300536312527858]",1736609945
"[1736609943.511559, 1736609943.7814445, 1736609944.0394204, 1736609944.2207644]",1736609944.5068142,1736609944.513788,1736609945.526916,1736609945.5309665,1736609946.0122652,1.0,4,0.3476250171661377,0.0212552547454834,0.061800241470336914,0.14270496368408203,0.1499159336090088,"[0.1823892593383789, 0.09251904487609863]","[0.061344146728515625, 0.08703255653381348]",62439,"[16, 16, 16]","[0.00025625010009769535, 0.00025625010009769535, 0.00025625010009769535]",1736609946
"[1736609944.4986224, 1736609944.7279928, 1736609944.949382, 1736609945.2463696]",1736609945.522178,1736609945.5265803,1736609946.5752633,1736609946.5807338,1736609947.0155404,1.0,4,0.2410125732421875,0.028142213821411133,0.09201240539550781,0.17340803146362305,0.1800546646118164,"[0.17699360847473145, 0.11069941520690918]","[0.07929515838623047, 0.1298365592956543]",104678,"[16, 16, 16]","[0.00015284969143468543, 0.00015284969143468543, 0.00015284969143468543]",1736609947
"[1736609945.498924, 1736609945.756637, 1736609945.9641478, 1736609946.2208967]",1736609946.570498,1736609946.5748253,1736609947.5150661,1736609947.5198154,1736609948.015549,1.0,4,0.22368764877319336,0.016775131225585938,0.07365727424621582,0.153062105178833,0.1601269245147705,"[0.16858339309692383, 0.10909152030944824]","[0.06697964668273926, 0.10483860969543457]",85922,"[16, 16, 16]","[0.00018621540466935127, 0.00018621540466935127, 0.00018621540466935127]",1736609948
"[1736609946.5082262, 1736609946.7267187, 1736609946.980865, 1736609947.2845626]",1736609947.5131946,1736609947.514792,1736609948.591374,1736609948.5981634,1736609949.0169034,1.0,4,0.2487947940826416,0.027829647064208984,0.0769491195678711,0.15974164009094238,0.18628740310668945,"[0.1951448917388916, 0.1147770881652832]","[0.09014225006103516, 0.14717721939086914]",118793,"[16, 16, 16]","[0.00013468807084592526, 0.00013468807084592526, 0.00013468807084592526]",1736609949
"[1736609947.477237, 1736609947.6913714, 1736609948.0181065, 1736609948.1839]",1736609948.579777,1736609948.5849805,1736609949.6091087,1736609949.6164358,1736609950.0157173,1.0,4,0.23527026176452637,0.02547168731689453,0.08848428726196289,0.1510481834411621,0.16878151893615723,"[0.18652868270874023, 0.10517454147338867]","[0.08218574523925781, 0.1231231689453125]",103217,"[16, 16, 16]","[0.00015501322456572077, 0.00015501322456572077, 0.00015501322456572077]",1736609950
"[1736609948.551429, 1736609948.7529278, 1736609949.027702, 1736609949.3375542]",1736609949.6002479,1736609949.6054003,1736609950.5191033,1736609950.5231116,1736609951.0117173,1.0,4,0.20909333229064941,0.025283336639404297,0.049581050872802734,0.13629722595214844,0.15540027618408203,"[0.17199349403381348, 0.10454940795898438]","[0.07715868949890137, 0.11803293228149414]",85430,"[16, 16, 16]","[0.00018728783799602013, 0.00018728783799602013, 0.00018728783799602013]",1736609951
"[1736609949.5043433, 1736609949.780504, 1736609949.9825928, 1736609950.2316585]",1736609950.5267508,1736609950.526814,1736609951.446557,1736609951.4507751,1736609952.0096245,1.0,4,0.1947646141052246,0.02201700210571289,0.07534003257751465,0.1347193717956543,0.1657719612121582,"[0.19137287139892578, 0.09980487823486328]","[0.07564663887023926, 0.11065006256103516]",86045,"[16, 16, 16]","[0.0001859492126213028, 0.0001859492126213028, 0.0001859492126213028]",1736609952
