timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737033401.576921, 1737033401.7775311, 1737033401.9855547, 1737033402.1848679, 1737033402.3851829]",1737033402.5934346,1737033402.59392,1737033404.2949815,1737033404.3031645,1737033404.421162,1.0,5,0.5975532531738281,0.036708831787109375,0.02887248992919922,0.26261162757873535,0.20341730117797852,0.37894177436828613,"[0.06445574760437012, 0.09686565399169922]",85418,"[4100064, 168696, 293112]","[48.0, 1.9749467325388093, 3.4315015570488656]",1737033404
"[1737033402.58497, 1737033402.8155065, 1737033402.9834423, 1737033403.2219834, 1737033403.3680928]",1737033403.6123884,1737033403.612589,1737033405.1550877,1737033405.1644614,1737033405.1806386,1.0,5,0.651663064956665,0.021028518676757812,0.031221389770507812,0.17327022552490234,0.3059120178222656,0.25424861907958984,"[0.07790088653564453, 0.10889101028442383]",98620,"[4733760, 185200, 328240]","[48.0, 1.8779152301764348, 3.328330967349422]",1737033405
"[1737033403.606487, 1737033403.8404417, 1737033404.0091538, 1737033404.1677349, 1737033404.427213]",1737033404.602495,1737033404.6026268,1737033405.8288767,1737033405.8363187,1737033406.0142415,1.0,5,0.5301716327667236,0.022884368896484375,0.06022906303405762,0.1723008155822754,0.2873053550720215,0.18738818168640137,"[0.07233667373657227, 0.11771059036254883]",109562,"[5258976, 195392, 348064]","[48.0, 1.7833920519888282, 3.1768678921523885]",1737033406
"[1737033404.598285, 1737033404.8231, 1737033405.0154545, 1737033405.214136, 1737033405.416374]",1737033405.6376677,1737033405.637769,1737033406.669373,1737033406.6758206,1737033407.0103035,1.0,5,0.20313286781311035,0.016024112701416016,0.04348564147949219,0.16715049743652344,0.29199671745300293,0.1603703498840332,"[0.06556272506713867, 0.10322213172912598]",89145,"[4278960, 174424, 306104]","[48.0, 1.956632452745527, 3.43377643165629]",1737033407
"[1737033405.6263516, 1737033405.8156707, 1737033406.0027688, 1737033406.1982784, 1737033406.4122605]",1737033406.668089,1737033406.6694443,1737033407.549028,1737033407.55433,1737033408.0062006,1.0,5,0.2586019039154053,0.021655559539794922,0.04291033744812012,0.14780902862548828,0.2760448455810547,0.16832780838012695,"[0.06633472442626953, 0.09576535224914551]",84020,"[4032960, 164256, 284928]","[48.0, 1.9549631040228517, 3.3911925731968577]",1737033408
"[1737033406.626656, 1737033406.8177059, 1737033407.01168, 1737033407.229065, 1737033407.4372985]",1737033407.6370158,1737033407.6371334,1737033408.3844984,1737033408.3887792,1737033409.0055695,1.0,5,0.19328904151916504,0.013985157012939453,0.03908729553222656,0.12077045440673828,0.23592185974121094,0.13543415069580078,"[0.06596922874450684, 0.09632015228271484]",85617,"[4109616, 166704, 287280]","[48.0, 1.947089947089947, 3.355408388520971]",1737033409
