timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737129746.5756242, 1737129746.7585268, 1737129746.9481645, 1737129747.1948793, 1737129747.3947706]",1737129747.6547477,1737129747.6549237,1737129748.7830894,1737129748.7913146,1737129748.8908713,1.0,5,0.4950227737426758,0.038111209869384766,0.04346728324890137,0.16626334190368652,0.189988374710083,0.19604277610778809,"[0.0548095703125, 0.09097862243652344]",78885,"[3786480, 158448, 274064]","[48.0, 2.0085947898840084, 3.4742219686885973]",1737129748
"[1737129747.594842, 1737129747.7984815, 1737129747.995437, 1737129748.1963804, 1737129748.3982468]",1737129748.6910694,1737129748.6918776,1737129749.4102376,1737129749.4177563,1737129749.4288952,1.0,5,0.1501765251159668,0.024210453033447266,0.039798736572265625,0.12172722816467285,0.21093463897705078,0.09843063354492188,"[0.05296134948730469, 0.09261012077331543]",79057,"[3794736, 157408, 272512]","[48.0, 1.991069734495364, 3.4470318883843305]",1737129749
"[1737129748.5950038, 1737129748.7950432, 1737129748.9945006, 1737129749.1944656, 1737129749.3950744]",1737129749.656804,1737129749.6568966,1737129750.3917046,1737129750.3975646,1737129750.4086292,1.0,5,0.17593169212341309,0.030685901641845703,0.04451632499694824,0.13150668144226074,0.23473358154296875,0.1551063060760498,"[0.05912637710571289, 0.09218072891235352]",78971,"[3790608, 158904, 273400]","[48.0, 2.0121816869483733, 3.4620303655772373]",1737129750
"[1737129749.5950303, 1737129749.7948039, 1737129749.9957697, 1737129750.194705, 1737129750.3952136]",1737129750.6542637,1737129750.6543543,1737129751.3741567,1737129751.3791947,1737129751.388549,1.0,5,0.1613306999206543,0.017071008682250977,0.04375863075256348,0.11638212203979492,0.23546600341796875,0.1526041030883789,"[0.05898547172546387, 0.09157729148864746]",79100,"[3796800, 155072, 269120]","[48.0, 1.9604551201011378, 3.402275600505689]",1737129751
"[1737129750.5951412, 1737129750.7960823, 1737129750.9960256, 1737129751.1949735, 1737129751.3955014]",1737129751.6542976,1737129751.6543648,1737129752.393217,1737129752.3978398,1737129752.4085865,1.0,5,0.17877721786499023,0.025142669677734375,0.04058718681335449,0.1343824863433838,0.22799205780029297,0.1599583625793457,"[0.05777263641357422, 0.09307241439819336]",77715,"[3730320, 155448, 270808]","[48.0, 2.00023161551824, 3.4846297368590364]",1737129752
"[1737129751.5955791, 1737129751.794309, 1737129751.9962556, 1737129752.1959949, 1737129752.395626]",1737129752.6550093,1737129752.655118,1737129753.383192,1737129753.3865426,1737129753.3992941,1.0,5,0.17200422286987305,0.01896810531616211,0.060773611068725586,0.1259920597076416,0.23358821868896484,0.15469861030578613,"[0.056649208068847656, 0.09088563919067383]",77325,"[3711600, 153696, 267488]","[48.0, 1.9876624636275462, 3.4592693178144196]",1737129753
"[1737129752.5958917, 1737129752.7951014, 1737129753.0003958, 1737129753.198701, 1737129753.3961518]",1737129753.657334,1737129753.6574366,1737129754.3768022,1737129754.3864946,1737129754.3992121,1.0,5,0.17006611824035645,0.018648624420166016,0.04293656349182129,0.131850004196167,0.22169899940490723,0.15890836715698242,"[0.05940532684326172, 0.0922846794128418]",81961,"[3934128, 157136, 270512]","[48.0, 1.917204524102927, 3.300496577640585]",1737129754
"[1737129753.5962045, 1737129753.797864, 1737129753.9980183, 1737129754.1962473, 1737129754.3960564]",1737129754.6538541,1737129754.653957,1737129755.29819,1737129755.3050542,1737129755.322606,1.0,5,0.16189193725585938,0.016724824905395508,0.04861807823181152,0.13147401809692383,0.22852516174316406,0.08929252624511719,"[0.052609920501708984, 0.09191703796386719]",81458,"[3909984, 155680, 266944]","[48.0, 1.911168945959881, 3.277075302609934]",1737129755
"[1737129754.5964174, 1737129754.795737, 1737129754.997703, 1737129755.196536, 1737129755.3968413]",1737129755.6537454,1737129755.653851,1737129756.3686275,1737129756.3721414,1737129756.383273,1.0,5,0.167036771774292,0.015428543090820312,0.06293296813964844,0.14386558532714844,0.24941492080688477,0.13310027122497559,"[0.05576515197753906, 0.08887958526611328]",77236,"[3707328, 156152, 266616]","[48.0, 2.0217515148376406, 3.451965404733544]",1737129756
"[1737129755.596602, 1737129755.7957458, 1737129755.9982877, 1737129756.196337, 1737129756.396416]",1737129756.6534135,1737129756.6535087,1737129757.4097567,1737129757.4145353,1737129757.4242182,1.0,5,0.20905542373657227,0.019412517547607422,0.04998135566711426,0.11703252792358398,0.21454787254333496,0.1625347137451172,"[0.059480905532836914, 0.08986902236938477]",78332,"[3759936, 155800, 264664]","[48.0, 1.9889700250217024, 3.378746872287188]",1737129757
