timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1736609361.5412672, 1736609361.626177, 1736609361.7328835, 1736609361.8701894, 1736609361.946679, 1736609362.0294616, 1736609362.1675448, 1736609362.2415023, 1736609362.3160367, 1736609362.4595907]",1736609362.6144867,1736609362.6149933,1736609365.6333477,1736609365.6445642,1736609365.7289476,1.0,10,0.6497750282287598,0.034767866134643555,0.26138973236083984,0.2768721580505371,0.40256476402282715,"[0.7504324913024902, 0.6416332721710205]","[0.06278467178344727, 0.06772279739379883]",85434,"[16, 16, 16]","[0.00018727906922302596, 0.00018727906922302596, 0.00018727906922302596]",1736609365
"[1736609362.607421, 1736609362.6761103, 1736609362.834171, 1736609362.8890727, 1736609363.019328, 1736609363.0832655, 1736609363.2301574, 1736609363.2959044, 1736609363.435394, 1736609363.4902375]",1736609363.5620017,1736609363.562363,1736609367.0032775,1736609367.01542,1736609367.0288155,1.0,10,0.30185556411743164,0.03184795379638672,0.36158251762390137,0.1767740249633789,0.5841519832611084,"[0.770319938659668, 0.4398002624511719]","[0.07725191116333008, 0.07625365257263184]",84776,"[16, 16, 16]","[0.00018873266018684534, 0.00018873266018684534, 0.00018873266018684534]",1736609367
"[1736609363.5594387, 1736609363.6905587, 1736609363.7685857, 1736609363.8415115, 1736609363.9733138, 1736609364.040794, 1736609364.176623, 1736609364.244778, 1736609364.3738308, 1736609364.4560611]",1736609364.5886712,1736609364.588873,1736609367.9661503,1736609367.9749053,1736609368.0102582,1.0,10,0.45862889289855957,0.030453920364379883,0.19020819664001465,0.17859387397766113,0.45722293853759766,"[0.4495515823364258, 0.3936636447906494]","[0.037142276763916016, 0.07748818397521973]",84240,"[16, 16, 16]","[0.0001899335232668566, 0.0001899335232668566, 0.0001899335232668566]",1736609368
"[1736609364.5790343, 1736609364.7008476, 1736609364.764007, 1736609364.875329, 1736609365.0142145, 1736609365.0750287, 1736609365.2093165, 1736609365.2881503, 1736609365.4091487, 1736609365.47649]",1736609365.5458806,1736609365.545983,1736609369.3375463,1736609369.3480873,1736609369.3620908,1.0,10,0.33548545837402344,0.03318142890930176,0.20151996612548828,0.27713465690612793,0.5261192321777344,"[0.5805037021636963, 0.6568942070007324]","[0.04230499267578125, 0.08868551254272461]",85321,"[16, 16, 16]","[0.00018752710352668158, 0.00018752710352668158, 0.00018752710352668158]",1736609369
"[1736609365.5428922, 1736609365.6761768, 1736609365.7450995, 1736609365.8120027, 1736609365.9433653, 1736609366.0095134, 1736609366.1575885, 1736609366.2197568, 1736609366.34351, 1736609366.410176]",1736609366.5451844,1736609366.545299,1736609370.7747562,1736609370.7823887,1736609370.7966442,1.0,10,0.28412652015686035,0.03627467155456543,0.19961190223693848,0.19647002220153809,0.4997103214263916,"[0.6007356643676758, 0.6996047496795654]","[0.05369901657104492, 0.07820820808410645]",86279,"[16, 16, 16]","[0.00018544489389074977, 0.00018544489389074977, 0.00018544489389074977]",1736609370
"[1736609366.5426178, 1736609366.6106715, 1736609366.7542725, 1736609366.8252223, 1736609366.9434297, 1736609367.0123038, 1736609367.142988, 1736609367.275596, 1736609367.3425963, 1736609367.4135516]",1736609367.5466678,1736609367.546773,1736609372.1068332,1736609372.1151533,1736609372.1328015,1.0,10,0.40997934341430664,0.026566505432128906,0.18958783149719238,0.20031404495239258,0.46787500381469727,"[0.9567935466766357, 0.23921585083007812]","[0.0665438175201416, 0.06547927856445312]",85528,"[16, 16, 16]","[0.0001870732391731363, 0.0001870732391731363, 0.0001870732391731363]",1736609372
"[1736609367.544423, 1736609367.6095314, 1736609367.754677, 1736609367.8269515, 1736609367.9670079, 1736609368.0395584, 1736609368.16572, 1736609368.2238965, 1736609368.3611872, 1736609368.4277773]",1736609368.5900388,1736609368.5901015,1736609373.3003345,1736609373.309026,1736609373.3242602,1.0,10,0.34641265869140625,0.028901338577270508,0.22421979904174805,0.2916107177734375,0.5534210205078125,"[0.6115419864654541, 0.47549986839294434]","[0.03664875030517578, 0.06593751907348633]",84951,"[16, 16, 16]","[0.00018834386881849536, 0.00018834386881849536, 0.00018834386881849536]",1736609373
"[1736609368.547272, 1736609368.681134, 1736609368.758929, 1736609368.8399384, 1736609368.9290383, 1736609369.0179791, 1736609369.1095626, 1736609369.2660801, 1736609369.341908, 1736609369.418765]",1736609369.5493755,1736609369.5494561,1736609374.7497725,1736609374.763169,1736609374.7755153,1.0,10,0.4385855197906494,0.03291583061218262,0.23129510879516602,0.2744140625,0.541522741317749,"[0.7060585021972656, 0.4672539234161377]","[0.12114238739013672, 0.148573637008667]",130753,"[16, 16, 16]","[0.00012236812922074446, 0.00012236812922074446, 0.00012236812922074446]",1736609374
"[1736609369.5472715, 1736609369.6826925, 1736609369.7731185, 1736609369.8467026, 1736609369.9293742, 1736609370.0061862, 1736609370.188327, 1736609370.250945, 1736609370.3233578, 1736609370.4684355]",1736609370.778395,1736609370.7784724,1736609376.118511,1736609376.1316552,1736609376.144016,1.0,10,0.4062466621398926,0.0348515510559082,0.2597928047180176,0.21040630340576172,0.6423196792602539,"[0.6935489177703857, 0.4114999771118164]","[0.11111903190612793, 0.14870119094848633]",129773,"[16, 16, 16]","[0.00012329221024404152, 0.00012329221024404152, 0.00012329221024404152]",1736609376
"[1736609370.5453045, 1736609370.6197097, 1736609370.7630384, 1736609370.846323, 1736609370.9180532, 1736609371.0515738, 1736609371.1144829, 1736609371.2435532, 1736609371.3425503, 1736609371.477025]",1736609372.1122925,1736609372.1124022,1736609377.4844189,1736609377.4942732,1736609377.5092685,1.0,10,0.3655526638031006,0.034836769104003906,0.23796558380126953,0.22954201698303223,0.5511703491210938,"[0.8193261623382568, 0.22410368919372559]","[0.15036773681640625, 0.16773128509521484]",115933,"[16, 16, 16]","[0.00013801074758696834, 0.00013801074758696834, 0.00013801074758696834]",1736609377
