timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737032272.7374265, 1737032272.8969839, 1737032273.058455, 1737032273.2062507, 1737032273.376667, 1737032273.6027737]",1737032273.762893,1737032273.763407,1737032276.0319107,1737032276.0423164,1737032276.1644995,1.0,6,0.7517423629760742,0.17360281944274902,0.13929343223571777,0.3304746150970459,0.33818721771240234,0.2539815902709961,"[0.13069844245910645, 0.212066650390625]",109444,"[5253312, 394824, 643816]","[48.0, 3.6075435839333356, 5.882606629874639]",1737032276
"[1737032273.751885, 1737032273.9011931, 1737032274.0570712, 1737032274.2130682, 1737032274.4447553, 1737032274.5891247]",1737032274.8096333,1737032274.8097577,1737032276.851928,1737032276.8594112,1737032277.0171738,1.0,6,0.42297983169555664,0.18175935745239258,0.06372737884521484,0.7573268413543701,0.7810628414154053,0.2508118152618408,"[0.12914514541625977, 0.21007537841796875]",109909,"[5275632, 394960, 644336]","[48.0, 3.5935182742086633, 5.862449844871667]",1737032277
"[1737032274.8068156, 1737032274.9605966, 1737032275.12154, 1737032275.3392377, 1737032275.5076761, 1737032275.6739678]",1737032275.8080487,1737032275.8176947,1737032277.9616003,1737032277.9684598,1737032278.0123935,1.0,6,0.9341669082641602,0.08513689041137695,0.07752609252929688,0.22945380210876465,0.276608943939209,0.22041988372802734,"[0.1308729648590088, 0.20754599571228027]",107604,"[5164992, 386184, 631720]","[48.0, 3.5889372142299543, 5.8707854726590085]",1737032278
"[1737032275.745024, 1737032275.8971615, 1737032276.053504, 1737032276.2765822, 1737032276.4433563, 1737032276.5873544]",1737032276.8427112,1737032276.8511567,1737032278.8842738,1737032278.890416,1737032279.0114665,1.0,6,0.41490626335144043,0.06129765510559082,0.5130400657653809,0.2913382053375244,0.7459211349487305,0.24328994750976562,"[0.13849258422851562, 0.21127533912658691]",105171,"[5048208, 393816, 642200]","[48.0, 3.744530336309439, 6.1062460183891]",1737032279
"[1737032276.8159573, 1737032276.9829276, 1737032277.139941, 1737032277.2874696, 1737032277.5064998, 1737032277.656927]",1737032277.947019,1737032277.958258,1737032279.8788743,1737032279.8863993,1737032280.0158608,1.0,6,0.9063270092010498,0.029721975326538086,0.15256524085998535,0.21996331214904785,0.29724788665771484,0.2750356197357178,"[0.12150120735168457, 0.18891334533691406]",103053,"[4946544, 347024, 570288]","[48.0, 3.3674322921215296, 5.533929143256382]",1737032280
"[1737032277.7920408, 1737032277.941554, 1737032278.140476, 1737032278.30495, 1737032278.4530509, 1737032278.6466503]",1737032278.8750932,1737032278.8837304,1737032280.7544076,1737032280.76045,1737032281.012695,1.0,6,0.9647006988525391,0.10865926742553711,0.14137029647827148,0.17337560653686523,0.2868618965148926,0.18846678733825684,"[0.10152006149291992, 0.15936636924743652]",96760,"[4644480, 287376, 479632]","[48.0, 2.9699875981810666, 4.956924348904506]",1737032281
"[1737032278.7874217, 1737032278.9300761, 1737032279.0913687, 1737032279.292541, 1737032279.4557788, 1737032279.6120296]",1737032279.8618326,1737032279.8784673,1737032281.6200538,1737032281.6295202,1737032282.0150566,1.0,6,0.41275715827941895,0.043486833572387695,0.42891740798950195,0.2781789302825928,0.6485621929168701,0.23969674110412598,"[0.12460613250732422, 0.19086885452270508]",112013,"[5376624, 341960, 563304]","[48.0, 3.0528599359002975, 5.02891628650246]",1737032282
"[1737032279.7558901, 1737032279.9262025, 1737032280.0867424, 1737032280.2324572, 1737032280.397497, 1737032280.557997]",1737032280.7869065,1737032280.7869785,1737032282.591836,1737032282.6020873,1737032283.0106523,1.0,6,0.8310661315917969,0.028172731399536133,0.05214858055114746,0.18044376373291016,0.33699917793273926,0.32945919036865234,"[0.12237262725830078, 0.17302513122558594]",114362,"[5489376, 303584, 502208]","[48.0, 2.6545880624683025, 4.391388748010703]",1737032283
"[1737032280.7846532, 1737032280.9628658, 1737032281.096809, 1737032281.3201354, 1737032281.4804478, 1737032281.6376421]",1737032281.8127692,1737032281.8128402,1737032283.5301468,1737032283.535308,1737032284.0136702,1.0,6,0.7096157073974609,0.024672508239746094,0.054796457290649414,0.18734264373779297,0.39466023445129395,0.2543673515319824,"[0.1109318733215332, 0.1671309471130371]",108058,"[5186784, 305656, 504472]","[48.0, 2.8286290695737475, 4.6685298635917745]",1737032284
"[1737032281.8104742, 1737032281.9551198, 1737032282.1149704, 1737032282.2823691, 1737032282.4610915, 1737032282.615673]",1737032282.788903,1737032282.789054,1737032284.5349514,1737032284.5430405,1737032285.0136447,1.0,6,0.671255350112915,0.02882242202758789,0.05856180191040039,0.1864299774169922,0.36283254623413086,0.3159177303314209,"[0.1257154941558838, 0.18945884704589844]",113564,"[5451072, 331560, 547144]","[48.0, 2.9195871931245816, 4.817935261174315]",1737032285
"[1737032282.784938, 1737032282.9769263, 1737032283.1185348, 1737032283.2788973, 1737032283.4516628, 1737032283.6084428]",1737032283.754882,1737032283.7550004,1737032285.415282,1737032285.4261563,1737032286.0078456,1.0,6,0.7308945655822754,0.02631545066833496,0.07097768783569336,0.19320321083068848,0.37041807174682617,0.20371651649475098,"[0.11559772491455078, 0.1806013584136963]",121490,"[5831520, 328280, 545528]","[48.0, 2.702115400444481, 4.490311959832085]",1737032286
"[1737032283.7516735, 1737032283.911213, 1737032284.0761092, 1737032284.2224648, 1737032284.3735917, 1737032284.561385]",1737032284.7879074,1737032284.7880087,1737032286.2245033,1737032286.229531,1737032287.0133872,1.0,6,0.6250514984130859,0.028324127197265625,0.04477643966674805,0.16276979446411133,0.32871508598327637,0.15697503089904785,"[0.10569548606872559, 0.17248153686523438]",113150,"[5431200, 314368, 524672]","[48.0, 2.778329650905877, 4.636959787892178]",1737032287
