timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737366823.7171059, 1737366823.8347917, 1737366823.9934518, 1737366824.0610116, 1737366824.192394, 1737366824.3250527, 1737366824.4584384, 1737366824.5920973]",1737366824.7330909,1737366824.7335708,1737366826.665299,1737366826.6828706,1737366826.8073401,1.0,8,0.6952390670776367,0.06371736526489258,0.09290766716003418,0.32445359230041504,0.5105154514312744,0.2882242202758789,"[0.08780050277709961, 0.15083837509155273]",144143,"[6918864, 265416, 459624]","[48.0, 1.8413381156212927, 3.188666810042805]",1737366826
"[1737366824.7251549, 1737366824.873271, 1737366824.9556913, 1737366825.1236272, 1737366825.2006216, 1737366825.3621683, 1737366825.5082777, 1737366825.582641]",1737366825.7516935,1737366825.7518184,1737366827.657121,1737366827.6697328,1737366827.6858888,1.0,8,0.4246046543121338,0.08253860473632812,0.4339141845703125,0.3279871940612793,0.6031661033630371,0.31186795234680176,"[0.10666060447692871, 0.17498087882995605]",165165,"[7927920, 302448, 536304]","[48.0, 1.8311869948233586, 3.247080192534738]",1737366827
"[1737366825.746672, 1737366825.8953903, 1737366825.9806266, 1737366826.1493387, 1737366826.227517, 1737366826.3933856, 1737366826.49009, 1737366826.6504247]",1737366826.7515547,1737366826.7612383,1737366828.8675451,1737366828.8791327,1737366828.8916488,1.0,8,0.9909214973449707,0.03861045837402344,0.17575860023498535,0.22411680221557617,0.474761962890625,0.3249638080596924,"[0.10194253921508789, 0.18738722801208496]",179182,"[8600736, 313752, 560632]","[48.0, 1.7510240984027414, 3.1288410666249957]",1737366828
"[1737366826.7384698, 1737366826.8797052, 1737366826.963285, 1737366827.0961883, 1737366827.223325, 1737366827.3543208, 1737366827.4847696, 1737366827.6238635]",1737366827.7696226,1737366827.7698112,1737366829.6445408,1737366829.6508873,1737366829.6694746,1.0,8,0.42728590965270996,0.015681028366088867,0.09171319007873535,0.7469403743743896,0.8656527996063232,0.26868748664855957,"[0.09842944145202637, 0.1608114242553711]",138685,"[6656880, 279736, 490936]","[48.0, 2.017060244438836, 3.539935825792263]",1737366829
"[1737366827.7665365, 1737366827.8965201, 1737366828.016186, 1737366828.1429536, 1737366828.2701952, 1737366828.4069936, 1737366828.5524454, 1737366828.6218774]",1737366828.8671393,1737366828.871479,1737366830.5763838,1737366830.5848336,1737366830.5999916,1.0,8,0.7564265727996826,0.026499032974243164,0.0687868595123291,0.14860010147094727,0.4215371608734131,0.2537529468536377,"[0.09694123268127441, 0.1497178077697754]",137125,"[6582000, 264224, 458080]","[48.0, 1.9268842297174111, 3.340601640838651]",1737366830
"[1737366828.766841, 1737366828.8871565, 1737366829.02392, 1737366829.1518648, 1737366829.2933476, 1737366829.3692498, 1737366829.5144315, 1737366829.647095]",1737366829.7773643,1737366829.777546,1737366831.5692496,1737366831.576652,1737366831.5897095,1.0,8,0.6903285980224609,0.02742743492126465,0.0720064640045166,0.16502976417541504,0.4472923278808594,0.29596567153930664,"[0.09637737274169922, 0.1468207836151123]",134363,"[6449424, 262000, 450288]","[48.0, 1.9499415761779657, 3.3512797421909304]",1737366831
"[1737366829.7740767, 1737366829.9037397, 1737366830.047157, 1737366830.1170778, 1737366830.261682, 1737366830.3974354, 1737366830.5267649, 1737366830.6602604]",1737366830.7309005,1737366830.7310228,1737366832.5349102,1737366832.5432827,1737366832.5522525,1.0,8,0.7295138835906982,0.02643585205078125,0.06745457649230957,0.17191600799560547,0.4398922920227051,0.26085519790649414,"[0.1001594066619873, 0.15729379653930664]",138933,"[6668784, 265448, 458024]","[48.0, 1.9106187874730984, 3.2967257598986563]",1737366832
"[1737366830.727201, 1737366830.8611434, 1737366831.0055346, 1737366831.0742388, 1737366831.2150319, 1737366831.3506856, 1737366831.484176, 1737366831.6127217]",1737366831.7461662,1737366831.7462664,1737366833.4569042,1737366833.467989,1737366833.4891129,1.0,8,0.6978752613067627,0.0269167423248291,0.0691976547241211,0.15227055549621582,0.41661763191223145,0.25894689559936523,"[0.09354948997497559, 0.14586567878723145]",137981,"[6623088, 258952, 445672]","[48.0, 1.8767221573984825, 3.2299519499061464]",1737366833
"[1737366831.7436996, 1737366831.875606, 1737366832.0183444, 1737366832.0885653, 1737366832.2342587, 1737366832.371118, 1737366832.4994106, 1737366832.6277733]",1737366832.7655802,1737366832.765683,1737366834.399364,1737366834.4050663,1737366834.4140327,1.0,8,0.6715037822723389,0.026349306106567383,0.0746312141418457,0.16164779663085938,0.41957902908325195,0.2690095901489258,"[0.09643220901489258, 0.15055179595947266]",135947,"[6525456, 267152, 460176]","[48.0, 1.9651187595165762, 3.38496620006326]",1737366834
"[1737366832.762975, 1737366832.896105, 1737366833.049956, 1737366833.1152172, 1737366833.264051, 1737366833.4032273, 1737366833.5349576, 1737366833.6687179]",1737366833.7361338,1737366833.736216,1737366835.3029988,1737366835.3097303,1737366835.327314,1.0,8,0.6563000679016113,0.02848362922668457,0.05420732498168945,0.16559195518493652,0.3709831237792969,0.27818989753723145,"[0.09242820739746094, 0.15570545196533203]",144089,"[6916272, 274360, 473528]","[48.0, 1.9041009376149463, 3.2863577372318495]",1737366835
