timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737127625.078554, 1737127625.2683342, 1737127625.5113459, 1737127625.7112963, 1737127625.911347]",1737127626.1685028,1737127626.1686587,1737127627.3025265,1737127627.311889,1737127627.4349964,1.0,5,0.5366079807281494,0.022999048233032227,0.03145456314086914,0.13245201110839844,0.21416783332824707,0.21121764183044434,"[0.050202369689941406, 0.07454252243041992]",73700,"[3537600, 129312, 222848]","[48.0, 1.754572591587517, 3.023717774762551]",1737127627
"[1737127626.1112063, 1737127626.3115306, 1737127626.510981, 1737127626.7111075, 1737127626.91135]",1737127627.1764858,1737127627.1765745,1737127628.065691,1737127628.0736797,1737127628.0865073,1.0,5,0.14553523063659668,0.015609025955200195,0.035843610763549805,0.11521434783935547,0.29309940338134766,0.162947416305542,"[0.06009507179260254, 0.08116412162780762]",73121,"[3509808, 130000, 224816]","[48.0, 1.7778750290614187, 3.0745750194882455]",1737127628
"[1737127627.1111012, 1737127627.3113518, 1737127627.5112102, 1737127627.710855, 1737127627.910903]",1737127628.1665661,1737127628.1666296,1737127628.8668282,1737127628.8745584,1737127629.0060103,1.0,5,0.2040257453918457,0.017618417739868164,0.04361462593078613,0.1080477237701416,0.19600319862365723,0.13931822776794434,"[0.05795001983642578, 0.08054828643798828]",74276,"[3565248, 132880, 231024]","[48.0, 1.789003177338575, 3.11034519898756]",1737127629
"[1737127628.1109817, 1737127628.311118, 1737127628.5121439, 1737127628.71121, 1737127628.9117725]",1737127629.1674986,1737127629.1675851,1737127629.8666604,1737127629.8705592,1737127630.0064318,1.0,5,0.2084639072418213,0.017671585083007812,0.024930953979492188,0.12040543556213379,0.19781136512756348,0.13207626342773438,"[0.05912494659423828, 0.08060836791992188]",71934,"[3452832, 134464, 234144]","[48.0, 1.8692690521867268, 3.2549837350904998]",1737127630
"[1737127629.1115792, 1737127629.3117304, 1737127629.5123641, 1737127629.7113092, 1737127629.911444]",1737127630.1670856,1737127630.1671853,1737127630.8595192,1737127630.866404,1737127631.0071547,1.0,5,0.16588068008422852,0.015148639678955078,0.046593427658081055,0.11256885528564453,0.20178842544555664,0.15497660636901855,"[0.06259870529174805, 0.08378314971923828]",75988,"[3647424, 137928, 240936]","[48.0, 1.8151287045322946, 3.170711164920777]",1737127631
"[1737127630.1113372, 1737127630.311875, 1737127630.5117383, 1737127630.7113595, 1737127630.9122496]",1737127631.1662843,1737127631.1663845,1737127631.9232967,1737127631.9282842,1737127632.0062973,1.0,5,0.2237567901611328,0.01713252067565918,0.041534423828125,0.09692740440368652,0.2141873836517334,0.15378332138061523,"[0.05902695655822754, 0.08243417739868164]",73932,"[3548736, 133880, 232952]","[48.0, 1.810853216469188, 3.1508954174105934]",1737127632
"[1737127631.1126416, 1737127631.3125873, 1737127631.5140288, 1737127631.7126453, 1737127631.9117117]",1737127632.1654172,1737127632.1655033,1737127632.8420918,1737127632.847247,1737127633.0066211,1.0,5,0.20510339736938477,0.01904916763305664,0.040749311447143555,0.12198829650878906,0.20850276947021484,0.10948443412780762,"[0.05256462097167969, 0.07643532752990723]",70281,"[3373488, 131136, 228768]","[48.0, 1.8658812481324967, 3.255047594655739]",1737127633
"[1737127632.113052, 1737127632.3128374, 1737127632.5125775, 1737127632.711521, 1737127632.9124086]",1737127633.1715198,1737127633.1716254,1737127633.8866806,1737127633.8906882,1737127634.009805,1.0,5,0.2109055519104004,0.018003225326538086,0.03820085525512695,0.11101937294006348,0.22635436058044434,0.13552188873291016,"[0.04797863960266113, 0.07676172256469727]",65115,"[3125520, 125016, 219416]","[48.0, 1.919926284266298, 3.3696690470705675]",1737127634
"[1737127633.1126077, 1737127633.3113105, 1737127633.5142295, 1737127633.7137284, 1737127633.9128563]",1737127634.1678126,1737127634.1679084,1737127634.88728,1737127634.8915713,1737127635.0098555,1.0,5,0.2056734561920166,0.019802570343017578,0.03976726531982422,0.10252928733825684,0.22103142738342285,0.14178180694580078,"[0.047590017318725586, 0.08105039596557617]",74291,"[3565968, 137520, 242832]","[48.0, 1.8510990564132936, 3.2686597299807514]",1737127635
"[1737127634.1140537, 1737127634.3123462, 1737127634.515366, 1737127634.713332, 1737127634.9136543]",1737127635.1686528,1737127635.168751,1737127635.8452654,1737127635.8491645,1737127636.01022,1.0,5,0.176788330078125,0.012787580490112305,0.03187298774719238,0.11598944664001465,0.25240373611450195,0.09692239761352539,"[0.0485379695892334, 0.08067727088928223]",71641,"[3438768, 136824, 241560]","[48.0, 1.909856087994305, 3.371812230426711]",1737127636
"[1737127635.113914, 1737127635.3138475, 1737127635.5166368, 1737127635.7138755, 1737127635.9137337]",1737127636.1685305,1737127636.1686306,1737127636.9288337,1737127636.9327235,1737127637.0094197,1.0,5,0.20569872856140137,0.01892566680908203,0.03932452201843262,0.11235833168029785,0.23130321502685547,0.15520024299621582,"[0.05996227264404297, 0.08598136901855469]",71824,"[3447552, 138480, 243344]","[48.0, 1.9280463354867454, 3.388059701492537]",1737127637
"[1737127636.114606, 1737127636.3141172, 1737127636.5139186, 1737127636.7140431, 1737127636.9140055]",1737127637.166075,1737127637.1661468,1737127637.8690295,1737127637.8724535,1737127638.0095043,1.0,5,0.210205078125,0.019089460372924805,0.04504585266113281,0.09142684936523438,0.2046527862548828,0.13824152946472168,"[0.05104231834411621, 0.0794367790222168]",68580,"[3291840, 130848, 230208]","[48.0, 1.9079615048118985, 3.3567804024496937]",1737127638
"[1737127637.113817, 1737127637.3138082, 1737127637.5147097, 1737127637.7132065, 1737127637.9130993]",1737127638.1666641,1737127638.1667697,1737127638.8674066,1737127638.8712192,1737127639.0092852,1.0,5,0.20554757118225098,0.02053213119506836,0.03835105895996094,0.10684537887573242,0.1935257911682129,0.13809633255004883,"[0.0584566593170166, 0.0815725326538086]",70284,"[3373632, 131096, 232408]","[48.0, 1.865232485345171, 3.3066985373627]",1737127639
"[1737127638.1143756, 1737127638.313095, 1737127638.5136144, 1737127638.7129443, 1737127638.9131284]",1737127639.166242,1737127639.1663427,1737127639.834849,1737127639.8380322,1737127640.0095122,1.0,5,0.17049145698547363,0.014763593673706055,0.037998199462890625,0.11949682235717773,0.19857168197631836,0.14391589164733887,"[0.05465435981750488, 0.07649946212768555]",67492,"[3239616, 126584, 223832]","[48.0, 1.8755408048361286, 3.31642268713329]",1737127640
"[1737127639.1140099, 1737127639.3128014, 1737127639.5145445, 1737127639.7127445, 1737127639.9134438]",1737127640.166274,1737127640.1663647,1737127640.8517885,1737127640.857428,1737127641.0097296,1.0,5,0.17411446571350098,0.02426934242248535,0.041478633880615234,0.12629485130310059,0.21898460388183594,0.13108611106872559,"[0.055628299713134766, 0.08063268661499023]",74259,"[3564432, 131408, 232496]","[48.0, 1.7695902180207113, 3.130879758682449]",1737127641
"[1737127640.1137514, 1737127640.3131924, 1737127640.5137799, 1737127640.7126255, 1737127640.9128704]",1737127641.167775,1737127641.1678815,1737127641.9054728,1737127641.9098566,1737127642.0099037,1.0,5,0.2052905559539795,0.019880056381225586,0.02553725242614746,0.11818313598632812,0.22056984901428223,0.15197038650512695,"[0.05807065963745117, 0.07893037796020508]",71987,"[3455376, 134488, 235800]","[48.0, 1.8682262075096892, 3.275591426229736]",1737127642
"[1737127641.113535, 1737127641.3140688, 1737127641.5143092, 1737127641.7134943, 1737127641.9126234]",1737127642.1667898,1737127642.1669004,1737127642.9307175,1737127642.9351413,1737127643.0093818,1.0,5,0.2056751251220703,0.019652843475341797,0.03839278221130371,0.11365318298339844,0.23110413551330566,0.15651345252990723,"[0.061577796936035156, 0.08545351028442383]",69195,"[3321360, 136184, 239384]","[48.0, 1.9681190837488258, 3.459556326324156]",1737127643
"[1737127642.1139655, 1737127642.3135533, 1737127642.5154126, 1737127642.7130322, 1737127642.9124374]",1737127643.1663647,1737127643.1664724,1737127643.8650835,1737127643.8692164,1737127644.0097935,1.0,5,0.203826904296875,0.019950151443481445,0.04028582572937012,0.10479259490966797,0.19139814376831055,0.14476275444030762,"[0.051584482192993164, 0.08167672157287598]",68195,"[3273360, 131472, 232240]","[48.0, 1.9278832758999926, 3.405528264535523]",1737127644
"[1737127643.112206, 1737127643.3117428, 1737127643.5119467, 1737127643.7118912, 1737127643.9122524]",1737127644.166816,1737127644.1669128,1737127644.8859303,1737127644.8900619,1737127645.009442,1.0,5,0.16346073150634766,0.011813640594482422,0.038887739181518555,0.11575198173522949,0.21656370162963867,0.16162872314453125,"[0.06415438652038574, 0.08900165557861328]",71391,"[3426768, 136776, 241896]","[48.0, 1.9158717485397319, 3.388326259612556]",1737127645
"[1737127644.1123493, 1737127644.311325, 1737127644.5150526, 1737127644.7125921, 1737127644.9117677]",1737127645.1662939,1737127645.1664014,1737127645.9199498,1737127645.9247344,1737127646.0098302,1.0,5,0.20548534393310547,0.01965641975402832,0.03885650634765625,0.10069847106933594,0.22297048568725586,0.15920805931091309,"[0.05986499786376953, 0.08191776275634766]",72407,"[3475536, 132872, 234184]","[48.0, 1.835071194773986, 3.234272929412902]",1737127646
"[1737127645.1130483, 1737127645.3123062, 1737127645.51315, 1737127645.711754, 1737127645.912098]",1737127646.1730545,1737127646.1731565,1737127646.8890424,1737127646.8933563,1737127647.0098908,1.0,5,0.2023143768310547,0.019232988357543945,0.03289294242858887,0.10190105438232422,0.21792221069335938,0.1439833641052246,"[0.05073070526123047, 0.08044910430908203]",74166,"[3559968, 131664, 231728]","[48.0, 1.775260901221584, 3.124450556858938]",1737127647
"[1737127646.1117926, 1737127646.3117328, 1737127646.5124693, 1737127646.712131, 1737127646.9132092]",1737127647.1664984,1737127647.1665893,1737127647.8701625,1737127647.878061,1737127648.009595,1.0,5,0.15338897705078125,0.016751527786254883,0.030537128448486328,0.11046934127807617,0.2182788848876953,0.15950894355773926,"[0.06257057189941406, 0.08597159385681152]",76431,"[3668688, 139728, 246256]","[48.0, 1.8281587314047965, 3.2219387421334273]",1737127648
"[1737127647.1122146, 1737127647.3117404, 1737127647.5126169, 1737127647.7119591, 1737127647.9116793]",1737127648.1655014,1737127648.1656122,1737127648.8037355,1737127648.8075695,1737127649.0086992,1.0,5,0.17895221710205078,0.012170076370239258,0.044317007064819336,0.1184699535369873,0.23702716827392578,0.0820932388305664,"[0.047005653381347656, 0.08070778846740723]",72645,"[3486960, 137400, 239960]","[48.0, 1.8913896345240553, 3.3031867299882993]",1737127649
"[1737127648.1118183, 1737127648.3110917, 1737127648.5156448, 1737127648.711842, 1737127648.9133587]",1737127649.1646805,1737127649.1647663,1737127649.7506313,1737127649.7540426,1737127650.00897,1.0,5,0.15135765075683594,0.012995719909667969,0.02236795425415039,0.12958335876464844,0.2205190658569336,0.08356261253356934,"[0.043021202087402344, 0.07526159286499023]",70116,"[3365568, 126672, 224048]","[48.0, 1.806606195447544, 3.1953904957499]",1737127650
