timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737032615.9851656, 1737032616.2034638, 1737032616.4029162, 1737032616.614702, 1737032616.8066204]",1737032617.0919554,1737032617.0921044,1737032619.1488574,1737032619.1629584,1737032619.2746956,1.0,5,0.7714455127716064,0.12672185897827148,0.09618115425109863,0.4154541492462158,0.25989532470703125,0.3664548397064209,"[0.08356356620788574, 0.14596271514892578]",127633,"[6126384, 248840, 436488]","[48.0, 1.9496525193327745, 3.419867902501704]",1737032619
"[1737032616.9985662, 1737032617.197818, 1737032617.4541883, 1737032617.5510058, 1737032617.7957604]",1737032618.109857,1737032618.1099548,1737032620.050283,1737032620.0584266,1737032620.070377,1.0,5,0.9765560626983643,0.11172056198120117,0.11610817909240723,0.23654389381408691,0.22189807891845703,0.19715070724487305,"[0.08264517784118652, 0.14713621139526367]",124414,"[5971872, 246168, 432216]","[48.0, 1.978619769479319, 3.474014178468661]",1737032620
"[1737032617.9989107, 1737032618.219084, 1737032618.4363942, 1737032618.6395912, 1737032618.8257709]",1737032619.142318,1737032619.1484349,1737032620.6834476,1737032620.6897252,1737032621.0088077,1.0,5,0.48959994316101074,0.04638242721557617,0.3703629970550537,0.15050244331359863,0.590796709060669,0.1804485321044922,"[0.08488726615905762, 0.14971542358398438]",126161,"[6055728, 249192, 437736]","[48.0, 1.975190431274324, 3.469661781374593]",1737032621
"[1737032619.0106251, 1737032619.1969867, 1737032619.411188, 1737032619.623026, 1737032619.8263688]",1737032620.1100674,1737032620.1101453,1737032621.67722,1737032621.6866875,1737032622.009272,1.0,5,0.6612579822540283,0.015342235565185547,0.04928755760192871,0.1589679718017578,0.29062581062316895,0.2610630989074707,"[0.08721017837524414, 0.15037298202514648]",126534,"[6073632, 254992, 444080]","[48.0, 2.015205399339308, 3.509570550207849]",1737032622
"[1737032620.0097077, 1737032620.2174592, 1737032620.39192, 1737032620.652467, 1737032620.8490083]",1737032621.144744,1737032621.1448293,1737032622.4413464,1737032622.451814,1737032623.0116596,1.0,5,0.6057682037353516,0.01784968376159668,0.03870272636413574,0.15069246292114258,0.2791147232055664,0.15488672256469727,"[0.08646893501281738, 0.15404367446899414]",129740,"[6227520, 250456, 438488]","[48.0, 1.9304455063974102, 3.3797441035917988]",1737032623
"[1737032621.036664, 1737032621.2333982, 1737032621.4369817, 1737032621.6148958, 1737032621.808543]",1737032622.1083813,1737032622.1084785,1737032623.3903162,1737032623.3952618,1737032624.0089748,1.0,5,0.22823524475097656,0.045444488525390625,0.06099557876586914,0.167039155960083,0.29848432540893555,0.1771864891052246,"[0.0854349136352539, 0.15437865257263184]",125603,"[6028944, 250504, 439752]","[48.0, 1.9944109615216197, 3.5011265654482777]",1737032624
"[1737032622.012779, 1737032622.1944838, 1737032622.3776608, 1737032622.5897388, 1737032622.7849753]",1737032623.08399,1737032623.084116,1737032624.3455727,1737032624.3544533,1737032625.0085561,1.0,5,0.24045467376708984,0.02108001708984375,0.0555875301361084,0.14737367630004883,0.2553689479827881,0.20386910438537598,"[0.0932919979095459, 0.15793156623840332]",119614,"[5741472, 261504, 455808]","[48.0, 2.186232380824987, 3.8106576153293092]",1737032625
"[1737032622.9876926, 1737032623.1614249, 1737032623.4078937, 1737032623.5833516, 1737032623.7541473]",1737032624.0888028,1737032624.093192,1737032625.2688422,1737032625.2738101,1737032626.0076516,1.0,5,0.23705339431762695,0.0432889461517334,0.03179025650024414,0.16688156127929688,0.2723057270050049,0.1931319236755371,"[0.07709908485412598, 0.12682723999023438]",102850,"[4936800, 220120, 383384]","[48.0, 2.1402041808458923, 3.727603305785124]",1737032626
"[1737032623.998615, 1737032624.1955516, 1737032624.3835225, 1737032624.6148574, 1737032624.8282225]",1737032625.1386445,1737032625.2682629,1737032625.807544,1737032625.810106,1737032627.0045428,1.0,5,0.13910269737243652,0.012847661972045898,0.020920276641845703,0.11017656326293945,0.18590641021728516,0.10827946662902832,"[0.03911304473876953, 0.05640292167663574]",37048,"[1778304, 85776, 142512]","[48.0, 2.3152666810624054, 3.846685381127186]",1737032627
"[1737032625.0177953, 1737032625.195702, 1737032625.3951185, 1737032625.610846, 1737032625.8025086]",1737032626.0722227,1737032626.0723202,1737032626.7610154,1737032626.7640314,1737032628.0062492,1.0,5,0.18749642372131348,0.015073776245117188,0.030731916427612305,0.13939476013183594,0.24555182456970215,0.10530304908752441,"[0.04465007781982422, 0.07818412780761719]",62210,"[2986080, 126808, 214648]","[48.0, 2.0383861115576276, 3.4503777527728663]",1737032628
