timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737033426.2822604, 1737033426.4828706, 1737033426.6908941, 1737033426.8902073, 1737033427.0905223]",1737033427.300194,1737033427.3008232,1737033429.1505928,1737033429.1586404,1737033429.2555492,1.0,5,0.6936595439910889,0.036248207092285156,0.034502267837524414,0.34299778938293457,0.24334096908569336,0.33789682388305664,"[0.06353569030761719, 0.10251402854919434]",85418,"[4100064, 168696, 293112]","[48.0, 1.9749467325388093, 3.4315015570488656]",1737033429
"[1737033427.2903094, 1737033427.520846, 1737033427.6887817, 1737033427.9273229, 1737033428.0734322]",1737033428.3156447,1737033428.3158894,1737033429.8886666,1737033429.896205,1737033430.0154097,1.0,5,0.8215060234069824,0.03460574150085449,0.05292344093322754,0.17255139350891113,0.2884669303894043,0.26389026641845703,"[0.07164216041564941, 0.1082761287689209]",98620,"[4733760, 185200, 328240]","[48.0, 1.8779152301764348, 3.328330967349422]",1737033430
"[1737033428.3118265, 1737033428.5457811, 1737033428.7144933, 1737033428.8730743, 1737033429.1325524]",1737033429.3056378,1737033429.305712,1737033430.705166,1737033430.7175372,1737033431.0125463,1.0,5,0.5996525287628174,0.02554917335510254,0.05693817138671875,0.17405009269714355,0.29007673263549805,0.20319724082946777,"[0.07883596420288086, 0.1165778636932373]",109562,"[5258976, 195392, 348064]","[48.0, 1.7833920519888282, 3.1768678921523885]",1737033431
"[1737033429.3036244, 1737033429.5284395, 1737033429.720794, 1737033429.9194753, 1737033430.1217134]",1737033430.33417,1737033430.3342671,1737033431.4567788,1737033431.464167,1737033432.011295,1.0,5,0.47756433486938477,0.012331247329711914,0.037767648696899414,0.1279447078704834,0.2455921173095703,0.18735146522521973,"[0.06773090362548828, 0.10250616073608398]",89145,"[4278960, 174424, 306104]","[48.0, 1.956632452745527, 3.43377643165629]",1737033432
"[1737033430.331691, 1737033430.5210102, 1737033430.7081082, 1737033430.9036179, 1737033431.1176]",1737033431.3519468,1737033431.4540143,1737033432.2780466,1737033432.2830215,1737033433.010652,1.0,5,0.22600793838500977,0.018062114715576172,0.043193817138671875,0.1264653205871582,0.22218728065490723,0.18918156623840332,"[0.06910872459411621, 0.09658050537109375]",84020,"[4032960, 164256, 284928]","[48.0, 1.9549631040228517, 3.3911925731968577]",1737033433
"[1737033431.3319955, 1737033431.5230453, 1737033431.7170193, 1737033431.9344044, 1737033432.142638]",1737033432.3427322,1737033432.342873,1737033433.1567757,1737033433.162151,1737033434.0097377,1.0,5,0.2083139419555664,0.01742100715637207,0.04417872428894043,0.13701748847961426,0.2633836269378662,0.1565091609954834,"[0.0671529769897461, 0.09792280197143555]",85617,"[4109616, 166704, 287280]","[48.0, 1.947089947089947, 3.355408388520971]",1737033434
"[1737033432.3392313, 1737033432.5362885, 1737033432.758103, 1737033432.96259, 1737033433.158598]",1737033433.2958744,1737033433.2960117,1737033434.0175273,1737033434.0214884,1737033435.010438,1.0,5,0.22648882865905762,0.013895034790039062,0.05239295959472656,0.13999366760253906,0.23456239700317383,0.09317183494567871,"[0.05572390556335449, 0.0932319164276123]",83798,"[4022304, 163512, 280248]","[48.0, 1.951263753311535, 3.3443280269218834]",1737033435
"[1737033433.2923555, 1737033433.5023184, 1737033433.7066386, 1737033433.9158401, 1737033434.112951]",1737033434.3116198,1737033434.311746,1737033435.048117,1737033435.051861,1737033436.0091095,1.0,5,0.19695615768432617,0.01375722885131836,0.029326438903808594,0.13095974922180176,0.24581503868103027,0.1210484504699707,"[0.06105446815490723, 0.09533905982971191]",84706,"[4065888, 162176, 279488]","[48.0, 1.9145751186456685, 3.299506528463155]",1737033436
"[1737033434.308854, 1737033434.5161934, 1737033434.723513, 1737033434.9362726, 1737033435.1278605]",1737033435.331182,1737033435.3313282,1737033436.1460078,1737033436.151362,1737033437.0111217,1.0,5,0.22893166542053223,0.015006542205810547,0.05018210411071777,0.14646029472351074,0.24672293663024902,0.15218424797058105,"[0.06969833374023438, 0.09786367416381836]",85494,"[4103712, 166272, 287008]","[48.0, 1.9448382342620534, 3.357054296207921]",1737033437
"[1737033435.3281295, 1737033435.5363667, 1737033435.752318, 1737033435.9052866, 1737033436.1001122]",1737033436.30247,1737033436.3026118,1737033437.1183295,1737033437.1261675,1737033438.0105326,1.0,5,0.21789813041687012,0.015598297119140625,0.0517115592956543,0.15105056762695312,0.28399181365966797,0.13443517684936523,"[0.06058311462402344, 0.09990072250366211]",92140,"[4422720, 172320, 296928]","[48.0, 1.8701975255046668, 3.2225743433904928]",1737033438
