timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1736610416.5552156, 1736610416.702327, 1736610416.85898, 1736610416.9430351, 1736610417.1177676, 1736610417.2934546, 1736610417.3749685]",1736610417.6297092,1736610417.6303778,1736610421.321745,1736610421.3443518,1736610421.4842944,1.0,7,0.6624250411987305,0.23741364479064941,0.2945597171783447,0.2821028232574463,0.3137552738189697,"[1.0156803131103516, 0.500438928604126]","[0.13701391220092773, 0.16135740280151367]",96496,"[16, 16, 16]","[0.000165809981760902, 0.000165809981760902, 0.000165809981760902]",1736610421
"[1736610417.6246934, 1736610417.805023, 1736610417.910185, 1736610418.0953946, 1736610418.1995385, 1736610418.3799765, 1736610418.4519894]",1736610418.6277947,1736610418.6281357,1736610423.191365,1736610423.2040524,1736610423.224493,1.0,7,0.6189136505126953,0.03964424133300781,0.291473388671875,0.4228525161743164,0.3314051628112793,"[0.8882012367248535, 0.5785188674926758]","[0.16421914100646973, 0.23432302474975586]",151984,"[16, 16, 16]","[0.00010527423939362039, 0.00010527423939362039, 0.00010527423939362039]",1736610423
"[1736610418.6235812, 1736610418.8116086, 1736610418.8971891, 1736610419.0753465, 1736610419.2307673, 1736610419.3170998, 1736610419.4837782]",1736610419.5684671,1736610419.5687473,1736610424.7057083,1736610424.7196324,1736610424.736839,1.0,7,0.576718807220459,0.028248310089111328,0.1684589385986328,0.2890141010284424,0.3244357109069824,"[0.5935912132263184, 0.5626437664031982]","[0.13866734504699707, 0.21636605262756348]",161420,"[16, 16, 16]","[9.912030727295255e-05, 9.912030727295255e-05, 9.912030727295255e-05]",1736610424
"[1736610419.5647504, 1736610419.744477, 1736610419.835539, 1736610420.0172777, 1736610420.120574, 1736610420.3182912, 1736610420.4009624]",1736610420.6481075,1736610420.6527264,1736610426.1572442,1736610426.166253,1736610426.189772,1.0,7,0.3397519588470459,0.033341169357299805,0.35181570053100586,0.28107285499572754,0.4300215244293213,"[0.6047649383544922, 0.49979352951049805]","[0.14089655876159668, 0.19904708862304688]",150818,"[16, 16, 16]","[0.00010608813271625403, 0.00010608813271625403, 0.00010608813271625403]",1736610426
"[1736610420.5702524, 1736610420.766457, 1736610420.8656867, 1736610420.9804287, 1736610421.159225, 1736610421.253294, 1736610421.4333973]",1736610421.6155396,1736610421.6156585,1736610427.7648036,1736610427.7790806,1736610427.7923653,1.0,7,0.7057285308837891,0.042737722396850586,0.1757948398590088,0.2941262722015381,0.3235757350921631,"[0.5223228931427002, 0.6814100742340088]","[0.153764009475708, 0.24390769004821777]",175340,"[16, 16, 16]","[9.12512832211703e-05, 9.12512832211703e-05, 9.12512832211703e-05]",1736610427
"[1736610421.6124644, 1736610421.8020308, 1736610421.891732, 1736610422.0281775, 1736610422.191607, 1736610422.362184, 1736610422.4453125]",1736610423.1973934,1736610423.197477,1736610429.3064868,1736610429.3203902,1736610429.340265,1.0,7,0.4373042583465576,0.05112290382385254,0.3279736042022705,0.27462100982666016,0.4826328754425049,"[0.6255261898040771, 0.5616714954376221]","[0.14620041847229004, 0.20338058471679688]",161757,"[16, 16, 16]","[9.891380280296989e-05, 9.891380280296989e-05, 9.891380280296989e-05]",1736610429
"[1736610422.611888, 1736610422.7923946, 1736610422.891855, 1736610423.052509, 1736610423.2113724, 1736610423.2943811, 1736610423.4562283]",1736610424.7106106,1736610424.7106721,1736610430.7077541,1736610430.7169762,1736610430.7330685,1.0,7,0.4185657501220703,0.03459954261779785,0.3302493095397949,0.27976536750793457,0.4495260715484619,"[0.4780697822570801, 0.6007449626922607]","[0.12496042251586914, 0.19430327415466309]",148575,"[16, 16, 16]","[0.00010768971899713949, 0.00010768971899713949, 0.00010768971899713949]",1736610430
"[1736610423.619084, 1736610423.804196, 1736610423.9109082, 1736610424.007316, 1736610424.2265177, 1736610424.3324041, 1736610424.5101762]",1736610426.161233,1736610426.1613128,1736610432.2394307,1736610432.2548215,1736610432.2669938,1.0,7,0.6609971523284912,0.0462343692779541,0.24425363540649414,0.32346343994140625,0.3425867557525635,"[0.514488697052002, 0.6254642009735107]","[0.15201067924499512, 0.232208251953125]",196110,"[16, 16, 16]","[8.158686451481312e-05, 8.158686451481312e-05, 8.158686451481312e-05]",1736610432
"[1736610424.603638, 1736610424.7956572, 1736610424.8712928, 1736610425.0729635, 1736610425.20702, 1736610425.3497276, 1736610425.494015]",1736610427.772242,1736610427.7723262,1736610433.6660397,1736610433.6758893,1736610433.6925094,1.0,7,0.4512045383453369,0.04673504829406738,0.31894350051879883,0.3088257312774658,0.45644354820251465,"[0.4868655204772949, 0.6159861087799072]","[0.12665009498596191, 0.1929168701171875]",142934,"[16, 16, 16]","[0.00011193977640029665, 0.00011193977640029665, 0.00011193977640029665]",1736610433
"[1736610425.5648334, 1736610425.7371054, 1736610425.8123095, 1736610426.0248117, 1736610426.1632395, 1736610426.3082407, 1736610426.4528294]",1736610429.314868,1736610429.3149629,1736610435.0952456,1736610435.1019044,1736610435.110837,1.0,7,0.4033973217010498,0.021228790283203125,0.31065893173217773,0.3051602840423584,0.47879934310913086,"[0.5168259143829346, 0.5967884063720703]","[0.13568449020385742, 0.17554068565368652]",122132,"[16, 16, 16]","[0.00013100579700651754, 0.00013100579700651754, 0.00013100579700651754]",1736610435
