timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737033093.4127796, 1737033093.5679684, 1737033093.7459106, 1737033093.880148, 1737033094.0799642, 1737033094.2133353]",1737033094.4683645,1737033094.4685333,1737033095.6320884,1737033095.6409624,1737033095.7656333,1.0,6,0.48899006843566895,0.033110618591308594,0.024571657180786133,0.22509217262268066,0.20586705207824707,0.22322869300842285,"[0.043851375579833984, 0.07651019096374512]",69916,"[3355968, 120768, 207424]","[48.0, 1.7273299387836833, 2.9667601121345615]",1737033095
"[1737033094.4131296, 1737033094.6120682, 1737033094.7452106, 1737033094.9445584, 1737033095.0787199, 1737033095.214049]",1737033095.555458,1737033095.5555158,1737033096.3577633,1737033096.362875,1737033096.3698735,1.0,6,0.20544648170471191,0.011236190795898438,0.02269124984741211,0.11903715133666992,0.24511456489562988,0.13549518585205078,"[0.04774284362792969, 0.07506704330444336]",66896,"[3211008, 121360, 208816]","[48.0, 1.8141592920353982, 3.1215020330064576]",1737033096
"[1737033095.478559, 1737033095.611741, 1737033095.8115082, 1737033095.9466166, 1737033096.1464555, 1737033096.2786539]",1737033096.4649608,1737033096.4650655,1737033097.2107372,1737033097.2193787,1737033097.2284749,1.0,6,0.21159601211547852,0.013582944869995117,0.02697134017944336,0.0914616584777832,0.22027206420898438,0.15746545791625977,"[0.05588054656982422, 0.07572484016418457]",70609,"[3389232, 120488, 207720]","[48.0, 1.7064113639904261, 2.941834610318798]",1737033097
"[1737033096.413128, 1737033096.5482376, 1737033096.7448063, 1737033096.8784628, 1737033097.0789704, 1737033097.279485]",1737033097.4668663,1737033097.466953,1737033098.214997,1737033098.2190294,1737033098.229105,1.0,6,0.2116532325744629,0.02105545997619629,0.03504204750061035,0.14370942115783691,0.259814977645874,0.12471127510070801,"[0.054198265075683594, 0.07487297058105469]",69287,"[3325776, 124816, 213840]","[48.0, 1.8014346125535814, 3.086293244042894]",1737033098
"[1737033097.4129217, 1737033097.54697, 1737033097.7458923, 1737033097.8843043, 1737033098.079087, 1737033098.2790961]",1737033098.535282,1737033098.5353582,1737033099.3485644,1737033099.3543582,1737033099.3599868,1.0,6,0.2387239933013916,0.016824722290039062,0.05290389060974121,0.15656137466430664,0.287092924118042,0.13684678077697754,"[0.05512547492980957, 0.0735158920288086]",66129,"[3174192, 120152, 206040]","[48.0, 1.8169335692358874, 3.11572834913578]",1737033099
"[1737033098.4795444, 1737033098.6143353, 1737033098.8137596, 1737033098.9468663, 1737033099.1453218, 1737033099.3457174]",1737033099.5310867,1737033099.531162,1737033100.3057964,1737033100.3097584,1737033100.3197033,1.0,6,0.22080469131469727,0.018218994140625,0.02994680404663086,0.15185332298278809,0.28507518768310547,0.13837265968322754,"[0.04755592346191406, 0.07158589363098145]",65425,"[3140400, 114512, 197872]","[48.0, 1.7502789453572793, 3.02440962934658]",1737033100
"[1737033099.4793825, 1737033099.6790245, 1737033099.812193, 1737033100.0121007, 1737033100.1471806, 1737033100.3455458]",1737033100.5313528,1737033100.531442,1737033101.2953205,1737033101.2996655,1737033101.3095155,1.0,6,0.21422553062438965,0.019047260284423828,0.03684663772583008,0.131911039352417,0.2682216167449951,0.1354351043701172,"[0.04951310157775879, 0.07305192947387695]",67471,"[3238608, 115888, 199952]","[48.0, 1.7175971899038105, 2.963525070030087]",1737033101
"[1737033100.4791498, 1737033100.6125307, 1737033100.813353, 1737033100.948179, 1737033101.1459622, 1737033101.3460402]",1737033101.5306997,1737033101.5307715,1737033102.2856598,1737033102.2924948,1737033102.3033097,1.0,6,0.20129156112670898,0.015499114990234375,0.03338479995727539,0.1273636817932129,0.2675340175628662,0.14840197563171387,"[0.053830862045288086, 0.0735936164855957]",67676,"[3248448, 113720, 195800]","[48.0, 1.680359359300195, 2.8931969974584786]",1737033102
"[1737033101.4789507, 1737033101.6141677, 1737033101.8115346, 1737033101.9460537, 1737033102.145708, 1737033102.2800725]",1737033102.4672425,1737033102.4673362,1737033103.1320884,1737033103.135922,1737033103.1477418,1.0,6,0.18588042259216309,0.015527486801147461,0.047585487365722656,0.1280205249786377,0.24785780906677246,0.09953856468200684,"[0.04096722602844238, 0.06650424003601074]",67890,"[3258720, 115792, 200304]","[48.0, 1.7055825600235675, 2.9504197967300043]",1737033103
"[1737033102.413593, 1737033102.5472584, 1737033102.7457983, 1737033102.947487, 1737033103.0787742, 1737033103.2794535]",1737033103.5314293,1737033103.5315044,1737033104.1844838,1737033104.1882384,1737033104.197457,1.0,6,0.20183300971984863,0.030676603317260742,0.04704737663269043,0.12769627571105957,0.24911975860595703,0.08068728446960449,"[0.040846824645996094, 0.06871700286865234]",66743,"[3203664, 118096, 203088]","[48.0, 1.7694140209460167, 3.042835952834005]",1737033104
