timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737031822.5694218, 1737031822.704963, 1737031822.8896089, 1737031823.060182, 1737031823.215936, 1737031823.3820033]",1737031823.6416323,1737031823.6421504,1737031826.0304759,1737031826.0396857,1737031826.152626,1.0,6,0.8121302127838135,0.1494438648223877,0.20386028289794922,0.29869651794433594,0.3503451347351074,0.25181078910827637,"[0.10869383811950684, 0.17774462699890137]",110126,"[5286048, 328488, 540840]","[48.0, 2.9828378402920293, 4.911101828814267]",1737031826
"[1737031823.632311, 1737031823.7969835, 1737031823.9849975, 1737031824.139253, 1737031824.3341982, 1737031824.496763]",1737031824.5829384,1737031824.5830786,1737031826.7458076,1737031826.7527893,1737031827.0079987,1.0,6,0.6506056785583496,0.029772281646728516,0.05184578895568848,0.6193902492523193,0.5781345367431641,0.27082109451293945,"[0.10976839065551758, 0.1730794906616211]",108671,"[5216208, 318096, 527376]","[48.0, 2.927147076957054, 4.8529598512942735]",1737031827
"[1737031824.5777283, 1737031824.7523406, 1737031824.9346824, 1737031825.035232, 1737031825.2176096, 1737031825.385512]",1737031825.6457474,1737031825.6460927,1737031827.7589433,1737031827.768041,1737031828.0228312,1.0,6,0.842975378036499,0.029961585998535156,0.06859683990478516,0.1708078384399414,0.334287166595459,0.17936921119689941,"[0.13174676895141602, 0.21656370162963867]",123106,"[5909088, 405264, 667536]","[48.0, 3.2919922668269623, 5.422448946436404]",1737031828
