timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737031894.4553924, 1737031894.5909336, 1737031894.7755795, 1737031894.9461527, 1737031895.1019065, 1737031895.267974]",1737031895.5249908,1737031895.52553,1737031897.8054798,1737031897.8152988,1737031897.913687,1.0,6,0.773059606552124,0.1407792568206787,0.14960384368896484,0.26381850242614746,0.26984572410583496,0.3603034019470215,"[0.11037063598632812, 0.17606520652770996]",110126,"[5286048, 328488, 540840]","[48.0, 2.9828378402920293, 4.911101828814267]",1737031897
"[1737031895.5182817, 1737031895.682954, 1737031895.870968, 1737031896.0252235, 1737031896.2201688, 1737031896.3827336]",1737031896.468706,1737031896.4691908,1737031898.5081465,1737031898.514299,1737031898.522352,1.0,6,0.5799591541290283,0.022811174392700195,0.09936094284057617,0.6100034713745117,0.4322824478149414,0.303241491317749,"[0.1146082878112793, 0.17245030403137207]",108671,"[5216208, 318096, 527376]","[48.0, 2.927147076957054, 4.8529598512942735]",1737031898
"[1737031896.4636989, 1737031896.6383111, 1737031896.820653, 1737031896.9212027, 1737031897.1035802, 1737031897.2714827]",1737031897.6202562,1737031897.6206257,1737031899.4672225,1737031899.4747577,1737031899.4823053,1.0,6,0.6494021415710449,0.029619216918945312,0.03678107261657715,0.17542409896850586,0.3070104122161865,0.24430561065673828,"[0.1340930461883545, 0.21625185012817383]",123106,"[5909088, 405264, 667536]","[48.0, 3.2919922668269623, 5.422448946436404]",1737031899
