timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737032211.7777805, 1737032211.9373379, 1737032212.098809, 1737032212.2466047, 1737032212.417021, 1737032212.6431277]",1737032212.795236,1737032212.795405,1737032215.235969,1737032215.2520597,1737032215.382335,1.0,6,0.7438178062438965,0.19766926765441895,0.14078497886657715,0.3564629554748535,0.2997136116027832,0.28542375564575195,"[0.13356518745422363, 0.21535205841064453]",109444,"[5253312, 394824, 643816]","[48.0, 3.6075435839333356, 5.882606629874639]",1737032215
"[1737032212.792239, 1737032212.9415472, 1737032213.0974252, 1737032213.2534223, 1737032213.4851093, 1737032213.6294787]",1737032213.8508866,1737032213.851138,1737032215.7774262,1737032215.785067,1737032216.013668,1.0,6,0.5330531597137451,0.16760635375976562,0.05591535568237305,0.587130069732666,0.8065371513366699,0.1759932041168213,"[0.13590764999389648, 0.21483421325683594]",109909,"[5275632, 394960, 644336]","[48.0, 3.5935182742086633, 5.862449844871667]",1737032216
"[1737032213.8471696, 1737032214.0009506, 1737032214.161894, 1737032214.3795917, 1737032214.5480301, 1737032214.7143219]",1737032214.827871,1737032214.8284817,1737032217.108217,1737032217.1182563,1737032217.129836,1.0,6,0.7040936946868896,0.0857086181640625,0.12310552597045898,0.2806406021118164,0.30399584770202637,0.26642632484436035,"[0.13353610038757324, 0.20963549613952637]",107604,"[5164992, 386184, 631720]","[48.0, 3.5889372142299543, 5.8707854726590085]",1737032217
"[1737032214.785378, 1737032214.9375155, 1737032215.093858, 1737032215.3169363, 1737032215.4837103, 1737032215.6277084]",1737032215.8600981,1737032215.8602924,1737032217.95103,1737032217.9578557,1737032218.0148633,1.0,6,0.36831068992614746,0.13378572463989258,0.06467366218566895,0.7796602249145508,0.8265290260314941,0.2466907501220703,"[0.13728618621826172, 0.21164608001708984]",105171,"[5048208, 393816, 642200]","[48.0, 3.744530336309439, 6.1062460183891]",1737032218
"[1737032215.8563113, 1737032216.0232816, 1737032216.180295, 1737032216.3278236, 1737032216.5468538, 1737032216.6972811]",1737032216.897748,1737032216.8977911,1737032219.0537755,1737032219.058293,1737032219.0684109,1.0,6,0.9157533645629883,0.08698630332946777,0.08551692962646484,0.28298044204711914,0.29398608207702637,0.22805190086364746,"[0.12568068504333496, 0.19037270545959473]",103053,"[4946544, 347024, 570288]","[48.0, 3.3674322921215296, 5.533929143256382]",1737032219
"[1737032216.8323948, 1737032216.981908, 1737032217.18083, 1737032217.345304, 1737032217.4934049, 1737032217.6870043]",1737032217.9476895,1737032217.9507046,1737032219.6467955,1737032219.6509867,1737032220.0122447,1.0,6,0.47322988510131836,0.05505800247192383,0.5011358261108398,0.14179110527038574,0.6233365535736084,0.1653423309326172,"[0.09845900535583496, 0.15897321701049805]",96760,"[4644480, 287376, 479632]","[48.0, 2.9699875981810666, 4.956924348904506]",1737032220
