timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
[1736609706.3135061],1736609707.3935602,1736609707.3941116,1736609708.328415,1736609708.330904,1736609708.43208,1.0,1,0.42972278594970703,0.028143644332885742,0.01439046859741211,0.06887102127075195,0.03037548065185547,"[0.15391039848327637, 0.02379775047302246]","[0.006918907165527344, 0.012166976928710938]",9373,"[16, 16, 16]","[0.0017070308332444255, 0.0017070308332444255, 0.0017070308332444255]",1736609708
[1736609707.382984],1736609708.386701,1736609708.3867826,1736609708.8654718,1736609708.8689334,1736609709.0051296,1.0,1,0.10125541687011719,0.01293182373046875,0.024065017700195312,0.15396952629089355,0.035146236419677734,"[0.0655367374420166, 0.04400825500488281]","[0.031395673751831055, 0.033203125]",19860,"[16, 16, 16]","[0.0008056394763343404, 0.0008056394763343404, 0.0008056394763343404]",1736609709
[1736609708.3818717],1736609709.3295062,1736609709.3298314,1736609709.9467013,1736609709.950204,1736609710.0090778,1.0,1,0.21895623207092285,0.023117780685424805,0.022540807723999023,0.12511587142944336,0.05220460891723633,"[0.06996440887451172, 0.05011725425720215]","[0.037924766540527344, 0.04629206657409668]",24230,"[16, 16, 16]","[0.000660338423442014, 0.000660338423442014, 0.000660338423442014]",1736609710
[1736609709.323041],1736609710.3350325,1736609710.3353293,1736609710.8306687,1736609710.833275,1736609711.006605,1.0,1,0.12927508354187012,0.013844966888427734,0.019481658935546875,0.10857486724853516,0.03576040267944336,"[0.07187461853027344, 0.05569577217102051]","[0.03474068641662598, 0.041706085205078125]",20568,"[16, 16, 16]","[0.0007779074290159471, 0.0007779074290159471, 0.0007779074290159471]",1736609711
[1736609710.328543],1736609711.3780258,1736609711.3783033,1736609711.9804645,1736609711.9833808,1736609712.006203,1.0,1,0.2024524211883545,0.02056431770324707,0.03112006187438965,0.12425398826599121,0.05755209922790527,"[0.06893110275268555, 0.05594515800476074]","[0.03890657424926758, 0.03809070587158203]",21356,"[16, 16, 16]","[0.0007492039707810451, 0.0007492039707810451, 0.0007492039707810451]",1736609712
[1736609711.370755],1736609712.3760715,1736609712.3764548,1736609712.9745314,1736609712.9769523,1736609713.0038247,1.0,1,0.20612406730651855,0.021474838256835938,0.02967977523803711,0.11056733131408691,0.05436348915100098,"[0.06953763961791992, 0.057416677474975586]","[0.04128909111022949, 0.03684186935424805]",22272,"[16, 16, 16]","[0.0007183908045977011, 0.0007183908045977011, 0.0007183908045977011]",1736609713
[1736609712.3701785],1736609713.3807273,1736609713.3808682,1736609713.9271,1736609713.9291537,1736609714.007803,1.0,1,0.17992949485778809,0.01923394203186035,0.018491506576538086,0.10841727256774902,0.049286842346191406,"[0.06973433494567871, 0.05565142631530762]","[0.03190732002258301, 0.04361748695373535]",23020,"[16, 16, 16]","[0.0006950477845351868, 0.0006950477845351868, 0.0006950477845351868]",1736609714
[1736609713.3773744],1736609714.3698218,1736609714.3701637,1736609714.939203,1736609714.9412692,1736609715.0094247,1.0,1,0.16795086860656738,0.028760910034179688,0.02672123908996582,0.1259298324584961,0.05575275421142578,"[0.06837058067321777, 0.059356689453125]","[0.03264164924621582, 0.03629636764526367]",21577,"[16, 16, 16]","[0.0007415303332251935, 0.0007415303332251935, 0.0007415303332251935]",1736609715
[1736609714.3619285],1736609715.3264263,1736609715.326565,1736609715.851202,1736609715.8553867,1736609716.0065482,1.0,1,0.1632401943206787,0.015555143356323242,0.02995133399963379,0.0732278823852539,0.040880441665649414,"[0.0731658935546875, 0.04918527603149414]","[0.05168461799621582, 0.04962348937988281]",25957,"[16, 16, 16]","[0.0006164040528566475, 0.0006164040528566475, 0.0006164040528566475]",1736609716
[1736609715.323124],1736609716.371776,1736609716.3720894,1736609716.9667068,1736609716.9686735,1736609717.0076113,1.0,1,0.19612383842468262,0.023711442947387695,0.030060291290283203,0.11754369735717773,0.05311131477355957,"[0.06740832328796387, 0.05789351463317871]","[0.03444528579711914, 0.039513349533081055]",18613,"[16, 16, 16]","[0.0008596142481061623, 0.0008596142481061623, 0.0008596142481061623]",1736609717
[1736609716.3660982],1736609717.3599272,1736609717.3602612,1736609717.9110954,1736609717.9126787,1736609718.0043569,1.0,1,0.18924760818481445,0.01778388023376465,0.026646137237548828,0.11025047302246094,0.04447031021118164,"[0.06266403198242188, 0.054491519927978516]","[0.03516387939453125, 0.03248858451843262]",14874,"[16, 16, 16]","[0.0010757025682398816, 0.0010757025682398816, 0.0010757025682398816]",1736609718
[1736609717.3531616],1736609718.356111,1736609718.3562043,1736609718.9229796,1736609718.9260366,1736609719.0116937,1.0,1,0.18198299407958984,0.0227663516998291,0.03516364097595215,0.11843228340148926,0.05486011505126953,"[0.07123255729675293, 0.04888319969177246]","[0.03538966178894043, 0.04227399826049805]",26509,"[16, 16, 16]","[0.0006035685993436192, 0.0006035685993436192, 0.0006035685993436192]",1736609719
[1736609718.3534632],1736609719.3699927,1736609719.3702698,1736609719.9198334,1736609719.9224083,1736609720.0121472,1.0,1,0.17072391510009766,0.028573274612426758,0.02639174461364746,0.1179955005645752,0.051926374435424805,"[0.06642818450927734, 0.05285811424255371]","[0.033971309661865234, 0.03673911094665527]",22101,"[16, 16, 16]","[0.0007239491425727343, 0.0007239491425727343, 0.0007239491425727343]",1736609720
[1736609719.3627653],1736609720.3388941,1736609720.339242,1736609720.8794255,1736609720.883756,1736609721.0082588,1.0,1,0.16381335258483887,0.017592191696166992,0.028168916702270508,0.09917235374450684,0.04822254180908203,"[0.0722501277923584, 0.05069732666015625]","[0.03847813606262207, 0.044678449630737305]",30222,"[16, 16, 16]","[0.0005294156574680697, 0.0005294156574680697, 0.0005294156574680697]",1736609721
[1736609720.3317761],1736609721.4133005,1736609721.4136455,1736609722.0567963,1736609722.0590854,1736609722.0720453,1.0,1,0.22758126258850098,0.02248549461364746,0.02785348892211914,0.1256852149963379,0.04735112190246582,"[0.07162857055664062, 0.056955814361572266]","[0.046457529067993164, 0.04225325584411621]",27040,"[16, 16, 16]","[0.000591715976331361, 0.000591715976331361, 0.000591715976331361]",1736609722
[1736609721.4059682],1736609722.3659067,1736609722.3662171,1736609722.9569848,1736609722.9590795,1736609723.0057657,1.0,1,0.18201088905334473,0.021385669708251953,0.02637338638305664,0.12731289863586426,0.04282641410827637,"[0.07019782066345215, 0.050348758697509766]","[0.040244102478027344, 0.045595407485961914]",24544,"[16, 16, 16]","[0.000651890482398957, 0.000651890482398957, 0.000651890482398957]",1736609723
