timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737127314.200017, 1737127314.4024966, 1737127314.630381, 1737127314.8303585, 1737127315.03071]",1737127315.2871385,1737127315.2873456,1737127316.3114095,1737127316.3177774,1737127316.434291,1.0,5,0.4600558280944824,0.02380537986755371,0.026407957077026367,0.16690754890441895,0.243941068649292,0.1779038906097412,"[0.04006075859069824, 0.0630347728729248]",49722,"[2386656, 113352, 190920]","[48.0, 2.27971521660432, 3.8397490044648244]",1737127316
"[1737127315.2300668, 1737127315.4297404, 1737127315.631923, 1737127315.8286827, 1737127316.0292485]",1737127316.3092673,1737127316.3140252,1737127316.9470208,1737127316.9512076,1737127317.007751,1.0,5,0.1894979476928711,0.015774965286254883,0.02463364601135254,0.12705326080322266,0.1924748420715332,0.12207460403442383,"[0.05245327949523926, 0.06515049934387207]",49084,"[2356032, 111504, 187824]","[48.0, 2.2716974981664086, 3.8265830005704506]",1737127317
"[1737127316.2290263, 1737127316.4299734, 1737127316.630524, 1737127316.830004, 1737127317.0305526]",1737127317.2840807,1737127317.2841754,1737127317.933577,1737127317.9368784,1737127318.0083706,1.0,5,0.1862025260925293,0.027155160903930664,0.024060487747192383,0.12919974327087402,0.20969223976135254,0.11552143096923828,"[0.05090689659118652, 0.06470608711242676]",47676,"[2288448, 112736, 190400]","[48.0, 2.3646279050255896, 3.993623626143133]",1737127318
"[1737127317.230965, 1737127317.4321134, 1737127317.6325617, 1737127317.8303888, 1737127318.0309436]",1737127318.2827585,1737127318.282831,1737127318.9231353,1737127318.9267218,1737127319.007968,1.0,5,0.17427730560302734,0.016910791397094727,0.03266787528991699,0.11754393577575684,0.2229921817779541,0.12613964080810547,"[0.044847726821899414, 0.06008720397949219]",47198,"[2265504, 105736, 178728]","[48.0, 2.2402644179838127, 3.7867706258739777]",1737127319
"[1737127318.2301962, 1737127318.4328434, 1737127318.6361067, 1737127318.8304722, 1737127319.0306358]",1737127319.2819576,1737127319.2820468,1737127319.851103,1737127319.8545504,1737127320.0078292,1.0,5,0.1745138168334961,0.016619443893432617,0.04054760932922363,0.10040688514709473,0.18006157875061035,0.09897470474243164,"[0.04222679138183594, 0.06471443176269531]",46759,"[2244432, 103168, 174976]","[48.0, 2.2063773818943946, 3.7420817382749845]",1737127320
"[1737127319.230104, 1737127319.4301817, 1737127319.6289551, 1737127319.8304808, 1737127320.030624]",1737127320.2830727,1737127320.2831662,1737127320.941576,1737127320.9449995,1737127321.0080051,1.0,5,0.19594454765319824,0.027037858963012695,0.029448747634887695,0.12600064277648926,0.20972967147827148,0.1294853687286377,"[0.05071711540222168, 0.060600996017456055]",46952,"[2253696, 103032, 174072]","[48.0, 2.194411313682058, 3.7074459021979895]",1737127321
"[1737127320.2303846, 1737127320.4305418, 1737127320.6315374, 1737127320.8309493, 1737127321.0303297]",1737127321.283544,1737127321.2836277,1737127321.9337769,1737127321.9403925,1737127322.008531,1.0,5,0.18033552169799805,0.018595218658447266,0.05474734306335449,0.12225127220153809,0.22200679779052734,0.11817383766174316,"[0.05198931694030762, 0.06082320213317871]",52768,"[2532864, 105752, 179096]","[48.0, 2.004093389933293, 3.3940266828380836]",1737127322
"[1737127321.230716, 1737127321.430694, 1737127321.6320243, 1737127321.830651, 1737127322.0307622]",1737127322.2862792,1737127322.2863746,1737127322.9641497,1737127322.9701257,1737127323.0065217,1.0,5,0.18408823013305664,0.027096986770629883,0.02842855453491211,0.10591602325439453,0.2216053009033203,0.12691211700439453,"[0.0537419319152832, 0.0690464973449707]",48150,"[2311200, 105800, 178664]","[48.0, 2.19730010384216, 3.710571131879543]",1737127323
"[1737127322.230651, 1737127322.4306781, 1737127322.6300633, 1737127322.8309383, 1737127323.03081]",1737127323.2799108,1737127323.2799938,1737127323.9079962,1737127323.9124653,1737127324.0086472,1.0,5,0.16083955764770508,0.011621236801147461,0.04301309585571289,0.09560227394104004,0.20822811126708984,0.12792515754699707,"[0.04899859428405762, 0.07080459594726562]",49071,"[2355408, 105256, 177384]","[48.0, 2.1449736096676246, 3.614843797762426]",1737127324
"[1737127323.2308738, 1737127323.4340863, 1737127323.628925, 1737127323.8308144, 1737127324.0309143]",1737127324.2802467,1737127324.2803442,1737127324.9347973,1737127324.9382102,1737127325.0068872,1.0,5,0.1903705596923828,0.0277407169342041,0.04344797134399414,0.11407136917114258,0.2099015712738037,0.12902355194091797,"[0.05341076850891113, 0.06081891059875488]",47931,"[2300688, 101656, 172184]","[48.0, 2.1208821013540295, 3.5923306419644905]",1737127325
