timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1736610487.045499, 1736610487.1926105, 1736610487.276914, 1736610487.4333186, 1736610487.5190668, 1736610487.7009706, 1736610487.7837381, 1736610487.9414728]",1736610488.1259663,1736610488.1263852,1736610491.8248336,1736610491.8364894,1736610491.946072,1.0,8,0.7351696491241455,0.04124641418457031,0.35170888900756836,0.31995725631713867,0.4177370071411133,"[0.9675054550170898, 0.7859952449798584]","[0.11772871017456055, 0.16915011405944824]",115190,"[16, 16, 16]","[0.00013890094626269642, 0.00013890094626269642, 0.00013890094626269642]",1736610491
"[1736610488.114977, 1736610488.1973927, 1736610488.4004686, 1736610488.4954712, 1736610488.585678, 1736610488.782721, 1736610488.87026, 1736610489.025959]",1736610489.1229482,1736610489.1231496,1736610493.8177967,1736610493.8318543,1736610493.8451757,1.0,8,0.6661255359649658,0.035210371017456055,0.17835378646850586,0.41254234313964844,0.4178643226623535,"[0.856581449508667, 0.7107279300689697]","[0.17043185234069824, 0.24736905097961426]",174469,"[16, 16, 16]","[9.170683617146886e-05, 9.170683617146886e-05, 9.170683617146886e-05]",1736610493
"[1736610489.1138647, 1736610489.2031503, 1736610489.3874726, 1736610489.4701881, 1736610489.6368897, 1736610489.7210507, 1736610489.891132, 1736610489.9740617]",1736610490.0575597,1736610490.0576336,1736610495.5118427,1736610495.5299757,1736610495.5544355,1.0,8,0.596379280090332,0.04823136329650879,0.2145693302154541,0.2855691909790039,0.5506675243377686,"[0.759958028793335, 0.5158908367156982]","[0.16302990913391113, 0.2488112449645996]",182349,"[16, 16, 16]","[8.774383188281811e-05, 8.774383188281811e-05, 8.774383188281811e-05]",1736610495
"[1736610490.055034, 1736610490.1381843, 1736610490.3258226, 1736610490.4085865, 1736610490.5075612, 1736610490.7180228, 1736610490.8085747, 1736610490.8912458]",1736610491.0635219,1736610491.0636034,1736610497.3104453,1736610497.3231442,1736610497.3438406,1.0,8,0.5907320976257324,0.07751345634460449,0.10998773574829102,0.2613523006439209,0.29732418060302734,"[0.8044233322143555, 0.609046459197998]","[0.15619516372680664, 0.22441768646240234]",164473,"[16, 16, 16]","[9.728040468648349e-05, 9.728040468648349e-05, 9.728040468648349e-05]",1736610497
"[1736610491.060536, 1736610491.143805, 1736610491.3559701, 1736610491.4707122, 1736610491.5576456, 1736610491.6495085, 1736610491.8371882, 1736610491.9236808]",1736610492.1058168,1736610492.105891,1736610499.1621475,1736610499.1778703,1736610499.2021277,1.0,8,0.7794106006622314,0.04178667068481445,0.1992204189300537,0.29423022270202637,0.36441707611083984,"[0.9016780853271484, 0.5259144306182861]","[0.1750340461730957, 0.24248933792114258]",193833,"[16, 16, 16]","[8.254528382679936e-05, 8.254528382679936e-05, 8.254528382679936e-05]",1736610499
"[1736610492.102748, 1736610492.1891086, 1736610492.3820155, 1736610492.518461, 1736610492.5963588, 1736610492.767814, 1736610492.8524675, 1736610492.935596]",1736610493.8229234,1736610493.8229825,1736610500.8732677,1736610500.8863707,1736610500.899586,1.0,8,0.5283412933349609,0.03012681007385254,0.3529789447784424,0.2770397663116455,0.49710798263549805,"[0.7968010902404785, 0.5097634792327881]","[0.1692495346069336, 0.22894930839538574]",187550,"[16, 16, 16]","[8.531058384430818e-05, 8.531058384430818e-05, 8.531058384430818e-05]",1736610500
"[1736610493.1021714, 1736610493.182783, 1736610493.3821385, 1736610493.455616, 1736610493.6221976, 1736610493.7016559, 1736610493.8655863, 1736610493.9465117]",1736610495.5197663,1736610495.5198555,1736610502.558165,1736610502.568524,1736610502.5865278,1.0,8,0.6037964820861816,0.0650935173034668,0.3535757064819336,0.3016195297241211,0.556107759475708,"[0.7747492790222168, 0.503258228302002]","[0.17598438262939453, 0.21881794929504395]",166561,"[16, 16, 16]","[9.606090261225618e-05, 9.606090261225618e-05, 9.606090261225618e-05]",1736610502
"[1736610494.1093674, 1736610494.1901093, 1736610494.4011917, 1736610494.4975996, 1736610494.6079884, 1736610494.7168012, 1736610494.8226876, 1736610495.0004597]",1736610497.3158226,1736610497.315889,1736610504.2058969,1736610504.2268846,1736610504.2623582,1.0,8,0.5723707675933838,0.0655829906463623,0.41603899002075195,0.306429386138916,0.5802459716796875,"[0.5774185657501221, 0.6218047142028809]","[0.1814572811126709, 0.26262497901916504]",229893,"[16, 16, 16]","[6.959759540307883e-05, 6.959759540307883e-05, 6.959759540307883e-05]",1736610504
"[1736610495.0939214, 1736610495.1834266, 1736610495.3615763, 1736610495.4624488, 1736610495.563247, 1736610495.6973035, 1736610495.8400111, 1736610495.9842985]",1736610499.1672237,1736610499.167292,1736610505.9768457,1736610505.9888566,1736610506.0140214,1.0,8,0.48235297203063965,0.024495601654052734,0.44132423400878906,0.28104114532470703,0.554133415222168,"[0.7528660297393799, 0.6289772987365723]","[0.1650383472442627, 0.2144455909729004]",163693,"[16, 16, 16]","[9.774394751150018e-05, 9.774394751150018e-05, 9.774394751150018e-05]",1736610505
"[1736610496.055117, 1736610496.2273889, 1736610496.302593, 1736610496.3979957, 1736610496.5791855, 1736610496.653523, 1736610496.7985241, 1736610496.9431129]",1736610500.8807292,1736610500.8807907,1736610507.6273046,1736610507.637481,1736610507.6542983,1.0,8,0.467193603515625,0.023386716842651367,0.45606374740600586,0.2716066837310791,0.5443146228790283,"[0.7701399326324463, 0.5008950233459473]","[0.16582298278808594, 0.2051234245300293]",139198,"[16, 16, 16]","[0.0001149441802324746, 0.0001149441802324746, 0.0001149441802324746]",1736610507
