timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737032440.9214315, 1737032441.098783, 1737032441.2594516, 1737032441.4192111, 1737032441.5766778, 1737032441.7854784]",1737032444.048511,1737032444.0491009,1737032446.2915163,1737032446.3032014,1737032446.4212089,1.0,6,0.7611243724822998,0.07371783256530762,0.11570978164672852,0.2645742893218994,0.2637617588043213,0.2655675411224365,"[0.12339305877685547, 0.20026302337646484]",102783,"[4933584, 366752, 593504]","[48.0, 3.568216533862604, 5.774340114610393]",1737032446
"[1737032444.938088, 1737032445.1082733, 1737032445.2765179, 1737032445.4424694, 1737032445.6046371, 1737032445.7651303]",1737032445.9667969,1737032445.9668727,1737032447.6915314,1737032447.7035239,1737032447.7241182,1.0,6,0.2855870723724365,0.03400540351867676,0.0687704086303711,0.21434235572814941,0.40523743629455566,0.3332531452178955,"[0.13313817977905273, 0.21972084045410156]",119671,"[5744208, 398208, 652064]","[48.0, 3.3275229587786517, 5.448805475010654]",1737032447
"[1737032445.9417686, 1737032446.1197767, 1737032446.2781076, 1737032446.4653077, 1737032446.6118023, 1737032446.7638366]",1737032446.9277003,1737032446.9277787,1737032448.677893,1737032448.68917,1737032448.7034876,1.0,6,0.8525478839874268,0.027736902236938477,0.0502009391784668,0.18078279495239258,0.3607184886932373,0.23086977005004883,"[0.11147093772888184, 0.18065094947814941]",107867,"[5177616, 316336, 520848]","[48.0, 2.932648539405008, 4.828613014174864]",1737032448
"[1737032447.9705777, 1737032448.1514542, 1737032448.3265312, 1737032448.4987419, 1737032448.668287, 1737032448.8383234]",1737032448.945776,1737032448.945898,1737032450.2548404,1737032450.2657404,1737032450.2812004,1.0,6,0.32465219497680664,0.027585983276367188,0.0699620246887207,0.1950385570526123,0.3590519428253174,0.24735641479492188,"[0.13581347465515137, 0.2242872714996338]",126107,"[6053136, 395864, 652728]","[48.0, 3.1391120239161983, 5.175985472654174]",1737032450
"[1737032448.943119, 1737032449.1286933, 1737032449.3045506, 1737032449.414604, 1737032449.5754185, 1737032449.741916]",1737032450.030442,1737032450.2342713,1737032451.5980911,1737032451.6099517,1737032451.6228158,1.0,6,0.34456944465637207,0.02892327308654785,0.0706489086151123,0.19788742065429688,0.3708627223968506,0.25155043601989746,"[0.13593697547912598, 0.22001290321350098]",126609,"[6077232, 382992, 632944]","[48.0, 3.024998222875151, 4.999202268401141]",1737032451
"[1737032450.0013163, 1737032450.1721115, 1737032450.3720574, 1737032450.4630165, 1737032450.6513014, 1737032450.800282]",1737032450.9422324,1737032450.9423006,1737032452.503602,1737032452.5096684,1737032452.5211844,1.0,6,0.7413163185119629,0.029330730438232422,0.030152082443237305,0.1397876739501953,0.28728294372558594,0.16263771057128906,"[0.13508844375610352, 0.21681523323059082]",124649,"[5983152, 396136, 648136]","[48.0, 3.178011857295285, 5.199688725942447]",1737032452
