timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_compression,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1737032910.6617522, 1737032911.1297202]",1737032911.7164614,1737032911.7166142,1737032912.5187087,1737032912.5217502,1737032912.649466,1.0,2,0.44928622245788574,0.02716541290283203,0.014596700668334961,0.12061023712158203,0.05884432792663574,0.10293841361999512,"[0.017123937606811523, 0.029320240020751953]",21597,"[1036656, 52664, 88792]","[48.0, 2.4384868268741027, 4.1113117562624435]",1737032912
"[1737032911.661974, 1737032912.1938078]",1737032912.7806854,1737032912.7807658,1737032913.2684355,1737032913.2717938,1737032913.2763195,1.0,2,0.19486308097839355,0.024886608123779297,0.021002531051635742,0.07359695434570312,0.06738829612731934,0.09344244003295898,"[0.03097701072692871, 0.03807425498962402]",25366,"[1217568, 52448, 88608]","[48.0, 2.06764960971379, 3.493179847039344]",1737032913
"[1737032912.7282155, 1737032913.1948643]",1737032913.7169015,1737032913.7169852,1737032914.186525,1737032914.1897109,1737032914.1962492,1.0,2,0.16401243209838867,0.013871431350708008,0.018106460571289062,0.09278559684753418,0.06316471099853516,0.09881973266601562,"[0.032659292221069336, 0.0389556884765625]",27564,"[1323072, 56176, 94608]","[48.0, 2.0380206065883035, 3.432303003918154]",1737032914
"[1737032913.6619952, 1737032914.1949525]",1737032914.7163494,1737032914.716447,1737032915.1030407,1737032915.1063027,1737032915.1148999,1.0,2,0.13120365142822266,0.02572345733642578,0.02713799476623535,0.0787651538848877,0.059628963470458984,0.056569576263427734,"[0.022486209869384766, 0.033820152282714844]",24750,"[1188000, 55464, 93736]","[48.0, 2.240969696969697, 3.787313131313131]",1737032915
"[1737032914.66217, 1737032915.1288455]",1737032915.7175188,1737032915.7176042,1737032916.0707293,1737032916.0737927,1737032916.0849445,1.0,2,0.12802982330322266,0.026050806045532227,0.01809859275817871,0.07071638107299805,0.061655521392822266,0.045935630798339844,"[0.019955158233642578, 0.03420233726501465]",26350,"[1264800, 54848, 92096]","[48.0, 2.081518026565465, 3.4951043643263757]",1737032916
"[1737032915.662399, 1737032916.1955848]",1737032916.7173645,1737032916.7174573,1737032917.0745852,1737032917.0792077,1737032917.0857666,1.0,2,0.13179230690002441,0.025858402252197266,0.014873981475830078,0.07404303550720215,0.0668036937713623,0.0466766357421875,"[0.019736528396606445, 0.03510165214538574]",28157,"[1351536, 58064, 98768]","[48.0, 2.0621515076179993, 3.5077600596654475]",1737032917
"[1737032916.6623905, 1737032917.129442]",1737032917.7156324,1737032917.7157195,1737032918.1280963,1737032918.1310456,1737032918.1357706,1.0,2,0.18448352813720703,0.013911247253417969,0.0197446346282959,0.08572554588317871,0.06931924819946289,0.04614424705505371,"[0.01956915855407715, 0.03229379653930664]",26855,"[1289040, 56000, 94976]","[48.0, 2.085272761124558, 3.53662260286725]",1737032918
"[1737032917.6626027, 1737032918.1297174]",1737032918.7169282,1737032918.7169926,1737032918.988089,1737032918.9898608,1737032919.004386,1.0,2,0.10428309440612793,0.011519908905029297,0.014065265655517578,0.03963637351989746,0.06177186965942383,0.04436635971069336,"[0.01872420310974121, 0.03135204315185547]",24602,"[1180896, 54200, 92600]","[48.0, 2.20307292090074, 3.7639216323876106]",1737032919
"[1737032918.6621847, 1737032919.1953607]",1737032919.7160535,1737032919.7161694,1737032920.033903,1737032920.0360842,1737032920.0440476,1.0,2,0.10894608497619629,0.012479782104492188,0.012429475784301758,0.06945419311523438,0.07184195518493652,0.055158138275146484,"[0.020133018493652344, 0.03257155418395996]",26469,"[1270512, 55696, 94480]","[48.0, 2.1041973629528883, 3.569458611961162]",1737032920
"[1737032919.6619244, 1737032920.1290596]",1737032920.7147937,1737032920.7148793,1737032921.1046941,1737032921.106411,1737032921.1157837,1.0,2,0.1075596809387207,0.012201547622680664,0.01212620735168457,0.06858110427856445,0.07370805740356445,0.10902523994445801,"[0.028267383575439453, 0.042989492416381836]",26322,"[1263456, 53816, 90808]","[48.0, 2.044525491983892, 3.4498898260010638]",1737032921
