timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1736960874.066899,1736960874.0681293,1736960874.0682566,1736960876.0344343,1736960876.034484,"[1736960876.2406127, 1736960876.4406128, 1736960876.6406126, 1736960876.8406126, 1736960877.0406127]",1736960874,2,unified,0.001093149185180664,0.12839770317077637,0.08940434455871582,0.13486313819885254,0.5798447132110596,1.0210645198822021
1736960876.0257988,1736960876.0267882,1736960876.0270805,1736960876.8924088,1736960876.8924756,"[1736960877.7, 1736960877.9, 1736960878.1, 1736960878.3, 1736960878.5]",1736960876,2,unified,0.0008406639099121094,0.12836217880249023,0.016904830932617188,0.055132150650024414,0.07077956199645996,0.5819997787475586
1736960878.025979,1736960878.0265718,1736960878.0266483,1736960878.6953936,1736960878.695471,"[1736960879.7, 1736960879.9, 1736960880.1, 1736960880.3, 1736960880.5]",1736960878,2,unified,0.0009453296661376953,0.1249074935913086,0.014741182327270508,0.057707786560058594,0.06516838073730469,0.3980062007904053
1736960880.0303118,1736960880.0309105,1736960880.030984,1736960880.626109,1736960880.6261764,"[1736960881.7, 1736960881.9, 1736960882.1, 1736960882.3, 1736960882.5]",1736960880,2,unified,0.0009508132934570312,0.12647223472595215,0.014172077178955078,0.047783613204956055,0.058538198471069336,0.3403894901275635
1736960882.0315044,1736960882.0321488,1736960882.0322251,1736960882.8884473,1736960882.88852,"[1736960883.7, 1736960883.9, 1736960884.1, 1736960884.3, 1736960884.5]",1736960882,2,unified,0.0009520053863525391,0.13013362884521484,0.014337778091430664,0.05522465705871582,0.07172775268554688,0.5761697292327881
1736960884.0265772,1736960884.0271254,1736960884.0271926,1736960884.7311976,1736960884.7312732,"[1736960885.7, 1736960885.9, 1736960886.1, 1736960886.3, 1736960886.5]",1736960884,2,unified,0.0009491443634033203,0.12897658348083496,0.018326282501220703,0.05146503448486328,0.07002806663513184,0.42687487602233887
1736960886.029984,1736960886.0305562,1736960886.0306478,1736960886.6726162,1736960886.6726902,"[1736960887.7, 1736960887.9, 1736960888.1, 1736960888.3, 1736960888.5]",1736960886,2,unified,0.0009586811065673828,0.14757347106933594,0.014047861099243164,0.051018476486206055,0.05868935585021973,0.3628847599029541
1736960888.030661,1736960888.0312264,1736960888.0312934,1736960888.6452692,1736960888.6458356,"[1736960889.7, 1736960889.9, 1736960890.1, 1736960890.3, 1736960890.5]",1736960888,2,unified,0.0009045600891113281,0.1197805404663086,0.013432741165161133,0.051697731018066406,0.05621814727783203,0.3646202087402344
1736960890.0309381,1736960890.0315518,1736960890.0316377,1736960890.654713,1736960890.654773,"[1736960891.7, 1736960891.9, 1736960892.1, 1736960892.3, 1736960892.5]",1736960890,2,unified,0.0009601116180419922,0.12422323226928711,0.01589512825012207,0.05150866508483887,0.057342529296875,0.36639881134033203
1736960892.0262697,1736960892.02678,1736960892.026864,1736960892.671816,1736960892.6718833,"[1736960893.7, 1736960893.9, 1736960894.1, 1736960894.3, 1736960894.5]",1736960892,2,unified,0.001088857650756836,0.12402963638305664,0.014721870422363281,0.05270123481750488,0.06148934364318848,0.384197473526001
1736960894.025104,1736960894.0258427,1736960894.02592,1736960894.7273393,1736960894.727408,"[1736960895.7, 1736960895.9, 1736960896.1, 1736960896.3, 1736960896.5]",1736960894,2,unified,0.0007901191711425781,0.1275196075439453,0.021509408950805664,0.056997060775756836,0.0659785270690918,0.42069554328918457
1736960896.0279143,1736960896.028463,1736960896.028543,1736960896.6983306,1736960896.6984065,"[1736960897.7, 1736960897.9, 1736960898.1, 1736960898.3, 1736960898.5]",1736960896,2,unified,0.0012199878692626953,0.1254558563232422,0.018145322799682617,0.05274224281311035,0.061411142349243164,0.40319252014160156
1736960898.021531,1736960898.022092,1736960898.0221717,1736960898.694351,1736960898.6944191,"[1736960899.7, 1736960899.9, 1736960900.1, 1736960900.3, 1736960900.5]",1736960898,2,unified,0.00095367431640625,0.12441182136535645,0.014286279678344727,0.055912017822265625,0.06164360046386719,0.40731072425842285
1736960900.0239794,1736960900.0245368,1736960900.0246096,1736960900.6976483,1736960900.697726,"[1736960901.7, 1736960901.9, 1736960902.1, 1736960902.3, 1736960902.5]",1736960900,2,unified,0.0008776187896728516,0.11924338340759277,0.017145395278930664,0.05366182327270508,0.06478643417358398,0.4093799591064453
1736960902.0281575,1736960902.0289457,1736960902.0291138,1736960903.042615,1736960903.042686,"[1736960903.7, 1736960903.9, 1736960904.1, 1736960904.3, 1736960904.5]",1736960902,2,unified,0.000978231430053711,0.1335923671722412,0.01730203628540039,0.06852149963378906,0.08349084854125977,0.7009665966033936
1736960904.020514,1736960904.0210109,1736960904.021081,1736960904.484027,1736960904.484104,"[1736960905.7, 1736960905.9, 1736960906.1, 1736960906.3, 1736960906.5]",1736960904,2,unified,0.0009503364562988281,0.11885428428649902,0.013495922088623047,0.03901481628417969,0.04303789138793945,0.2422165870666504
1736960906.0208573,1736960906.0213995,1736960906.0214758,1736960906.7396576,1736960906.7397318,"[1736960907.7, 1736960907.9, 1736960908.1, 1736960908.3, 1736960908.5]",1736960906,2,unified,0.0009548664093017578,0.12367796897888184,0.013874292373657227,0.05199408531188965,0.06725311279296875,0.45242953300476074
1736960908.0217702,1736960908.022293,1736960908.0223637,1736960908.8042111,1736960908.804277,"[1736960909.7, 1736960909.9, 1736960910.1, 1736960910.3, 1736960910.5]",1736960908,2,unified,0.0011975765228271484,0.12733197212219238,0.014015913009643555,0.056905508041381836,0.07217717170715332,0.5016903877258301
