timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1737032216.5137396,1737032216.5149307,1737032216.5150638,1737032219.9501116,1737032219.9505148,"[1737032220.1269896, 1737032220.293656, 1737032220.4603229, 1737032220.6269896, 1737032220.793656, 1737032220.9603229]",1737032216,2,unified,0.0010328292846679688,0.17297959327697754,0.09646940231323242,0.17960524559020996,0.6378397941589355,2.328878402709961
1737032217.232169,1737032217.2332816,1737032217.2334304,1737032221.4349806,1737032221.435394,"[1737032221.6104484, 1737032221.7771149, 1737032221.9437816, 1737032222.1104484, 1737032222.2771149, 1737032222.4437816]",1737032217,2,unified,0.3685305118560791,0.16065025329589844,0.03345346450805664,0.2992434501647949,0.2103428840637207,1.4853651523590088
1737032218.1234212,1737032218.124519,1737032218.1246524,1737032222.687575,1737032222.688128,"[1737032222.8628383, 1737032223.0295048, 1737032223.1961715, 1737032223.3628383, 1737032223.5295048, 1737032223.6961715]",1737032218,2,unified,0.008910417556762695,0.24679255485534668,0.1710343360900879,1.0824668407440186,0.26670360565185547,1.254687786102295
1737032219.1237426,1737032219.9548306,1737032219.9549282,1737032223.7659957,1737032223.7664104,"[1737032223.9379928, 1737032224.1046593, 1737032224.271326, 1737032224.4379928, 1737032224.6046593, 1737032224.771326]",1737032219,2,unified,0.0020265579223632812,0.16091060638427734,0.11365389823913574,1.0187184810638428,0.13164710998535156,1.0801331996917725
1737032220.124506,1737032221.439522,1737032221.4397013,1737032224.7216852,1737032224.7217538,"[1737032224.8926244, 1737032225.059291, 1737032225.2259576, 1737032225.3926244, 1737032225.559291, 1737032225.7259576]",1737032220,2,unified,0.0013103485107421875,0.1628098487854004,0.10538005828857422,0.8062028884887695,0.1430199146270752,0.9573278427124023
1737032277.3123267,1737032277.3131819,1737032277.3132608,1737032278.8109975,1737032278.811073,"[1737032279.6666667, 1737032279.8333333, 1737032280.0, 1737032280.1666667, 1737032280.3333333, 1737032280.5]",1737032277,2,unified,0.0008420944213867188,0.16368651390075684,0.020206928253173828,0.09063434600830078,0.12502717971801758,1.0764248371124268
1737032278.1252413,1737032278.1258888,1737032278.1259604,1737032280.2328258,1737032280.232933,"[1737032280.6666667, 1737032280.8333333, 1737032281.0, 1737032281.1666667, 1737032281.3333333, 1737032281.5]",1737032278,2,unified,0.06963634490966797,0.16728806495666504,0.3827638626098633,0.13462090492248535,0.11518239974975586,1.2194736003875732
1737032279.1254702,1737032279.1262765,1737032279.1265419,1737032281.5894172,1737032281.5898805,"[1737032281.7641728, 1737032281.9308393, 1737032282.097506, 1737032282.2641728, 1737032282.4308393, 1737032282.597506]",1737032279,2,unified,0.0006871223449707031,0.17023825645446777,0.7799680233001709,0.13048291206359863,0.12419795989990234,1.2446064949035645
1737032280.1263962,1737032280.1271267,1737032280.127205,1737032282.829481,1737032282.8305094,"[1737032283.001678, 1737032283.1683445, 1737032283.3350112, 1737032283.501678, 1737032283.6683445, 1737032283.8350112]",1737032280,2,unified,0.002501249313354492,0.2510507106781006,0.06444597244262695,0.22644686698913574,0.13134169578552246,1.2242610454559326
1737032281.1241782,1737032281.125045,1737032281.1251225,1737032283.9260333,1737032283.9265163,"[1737032284.0981238, 1737032284.2647903, 1737032284.431457, 1737032284.5981238, 1737032284.7647903, 1737032284.931457]",1737032281,2,unified,0.028901338577270508,0.17087912559509277,0.19661855697631836,0.2224876880645752,0.1234123706817627,1.1119697093963623
