timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1736876378.0616314,1736876378.0627244,1736876378.0628517,1736876380.8154192,1736876380.816218,"[1736876380.9671686, 1736876381.110026, 1736876381.252883, 1736876381.39574, 1736876381.538597, 1736876381.6814544, 1736876381.8243115]",1736876378,2,unified,0.0012791156768798828,0.18250536918640137,0.13832473754882812,0.15625929832458496,0.7205445766448975,1.5221645832061768
1736876379.1166458,1736876379.1180103,1736876379.11832,1736876381.914708,1736876381.9155152,"[1736876382.0656, 1736876382.2084572, 1736876382.3513143, 1736876382.4941714, 1736876382.6370285, 1736876382.7798858, 1736876382.9227428]",1736876379,2,unified,0.0009548664093017578,0.21438336372375488,0.043134450912475586,0.10060453414916992,0.5055818557739258,1.093393325805664
1736876380.2229278,1736876380.223898,1736876380.2240384,1736876382.6993535,1736876382.7007728,"[1736876382.8497622, 1736876382.9926195, 1736876383.1354766, 1736876383.2783337, 1736876383.4211907, 1736876383.564048, 1736876383.7069051]",1736876380,2,unified,0.006371021270751953,0.17656588554382324,0.39829230308532715,0.11953449249267578,0.9594075679779053,0.7929143905639648
1736876381.1177528,1736876381.1184053,1736876381.118485,1736876383.342947,1736876383.3440688,"[1736876383.4903212, 1736876383.6331785, 1736876383.7760355, 1736876383.9188926, 1736876384.0617497, 1736876384.204607, 1736876384.347464]",1736876381,2,unified,0.0691826343536377,0.1792590618133545,0.5177907943725586,0.12453079223632812,0.6748785972595215,0.6473309993743896
1736876382.2214472,1736876382.222039,1736876382.2221107,1736876383.9765537,1736876383.976625,"[1736876384.142857, 1736876384.2857144, 1736876384.4285715, 1736876384.5714285, 1736876384.7142856, 1736876384.857143, 1736876385.0]",1736876382,2,unified,0.043637990951538086,0.1841721534729004,0.24007201194763184,0.11657118797302246,0.4939284324645996,0.6331651210784912
1736876383.2232478,1736876383.2239294,1736876383.2240026,1736876384.4983096,1736876384.4983819,"[1736876385.142857, 1736876385.2857144, 1736876385.4285715, 1736876385.5714285, 1736876385.7142856, 1736876385.857143, 1736876386.0]",1736876383,2,unified,0.03502988815307617,0.18279051780700684,0.20312952995300293,0.31494832038879395,0.1720733642578125,0.3569650650024414
1736876384.3288069,1736876384.329398,1736876384.3294756,1736876385.2344677,1736876385.234538,"[1736876386.142857, 1736876386.2857144, 1736876386.4285715, 1736876386.5714285, 1736876386.7142856, 1736876386.857143, 1736876387.0]",1736876384,2,unified,0.0031647682189941406,0.17249703407287598,0.033179521560668945,0.05831313133239746,0.17352962493896484,0.4544551372528076
1736876385.5525053,1736876385.5532076,1736876385.553289,1736876386.5696566,1736876386.5697355,"[1736876387.142857, 1736876387.2857144, 1736876387.4285715, 1736876387.5714285, 1736876387.7142856, 1736876387.857143, 1736876388.0]",1736876385,2,unified,0.0009396076202392578,0.17328310012817383,0.03492331504821777,0.07286739349365234,0.18659639358520508,0.5372653007507324
1736876386.6541848,1736876386.6547928,1736876386.6548707,1736876387.8764768,1736876387.876548,"[1736876388.142857, 1736876388.2857144, 1736876388.4285715, 1736876388.5714285, 1736876388.7142856, 1736876388.857143, 1736876389.0]",1736876386,2,unified,0.0018122196197509766,0.17614436149597168,0.03867983818054199,0.07346057891845703,0.19721746444702148,0.721461296081543
1736876387.8676982,1736876387.868452,1736876387.8685482,1736876389.4833274,1736876389.4833944,"[1736876389.6336713, 1736876389.7765286, 1736876389.9193857, 1736876390.0622427, 1736876390.2050998, 1736876390.3479571, 1736876390.4908142]",1736876387,2,unified,0.001394510269165039,0.18540143966674805,0.04014158248901367,0.0901179313659668,0.21900033950805664,1.055560827255249
1736876388.9769335,1736876388.9776669,1736876388.9778423,1736876390.3850915,1736876390.3851712,"[1736876390.5326037, 1736876390.675461, 1736876390.8183181, 1736876390.9611752, 1736876391.1040323, 1736876391.2468896, 1736876391.3897467]",1736876388,2,unified,0.11323308944702148,0.18072104454040527,0.20339632034301758,0.07263588905334473,0.19598627090454102,0.6283679008483887
