timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1736876625.0156004,1736876625.016738,1736876625.0168633,1736876627.9253993,1736876627.9254673,"[1736876628.059145, 1736876628.184145, 1736876628.309145, 1736876628.434145, 1736876628.559145, 1736876628.684145, 1736876628.809145, 1736876628.934145]",1736876625,2,unified,0.0015020370483398438,0.20565056800842285,0.13576006889343262,0.1710059642791748,0.7510638236999512,1.6161315441131592
1736876627.0169768,1736876627.0181973,1736876627.0183399,1736876629.2237701,1736876629.2238457,"[1736876629.3570259, 1736876629.4820259, 1736876629.6070259, 1736876629.7320259, 1736876629.8570259, 1736876629.9820259, 1736876630.1070259, 1736876630.2320259]",1736876627,2,unified,0.11375951766967773,0.2010054588317871,0.575822114944458,0.08246803283691406,0.22726225852966309,0.985515832901001
1736876629.0192385,1736876629.0198984,1736876629.0199816,1736876630.2694051,1736876630.2694764,"[1736876631.125, 1736876631.25, 1736876631.375, 1736876631.5, 1736876631.625, 1736876631.75, 1736876631.875, 1736876632.0]",1736876629,2,unified,0.030760765075683594,0.2055799961090088,0.04240226745605469,0.09131669998168945,0.21759438514709473,0.6491999626159668
1736876631.018038,1736876631.0187073,1736876631.01888,1736876632.0679018,1736876632.0679731,"[1736876633.125, 1736876633.25, 1736876633.375, 1736876633.5, 1736876633.625, 1736876633.75, 1736876633.875, 1736876634.0]",1736876631,2,unified,0.0013933181762695312,0.19036602973937988,0.03864002227783203,0.06439828872680664,0.20215392112731934,0.540431022644043
1736876633.0178647,1736876633.018609,1736876633.018685,1736876634.6077282,1736876634.6078043,"[1736876635.125, 1736876635.25, 1736876635.375, 1736876635.5, 1736876635.625, 1736876635.75, 1736876635.875, 1736876636.0]",1736876633,2,unified,0.0010461807250976562,0.19500970840454102,0.047009944915771484,0.08102631568908691,0.23178625106811523,1.019162893295288
1736876635.7009113,1736876635.7015274,1736876635.7016268,1736876637.0123973,1736876637.012471,"[1736876637.141628, 1736876637.266628, 1736876637.391628, 1736876637.516628, 1736876637.641628, 1736876637.766628, 1736876637.891628, 1736876638.016628]",1736876635,2,unified,0.0012688636779785156,0.19738006591796875,0.0426177978515625,0.07878804206848145,0.22805476188659668,0.7491965293884277
1736876637.6979208,1736876637.698543,1736876637.698625,1736876638.8574455,1736876638.8575332,"[1736876639.125, 1736876639.25, 1736876639.375, 1736876639.5, 1736876639.625, 1736876639.75, 1736876639.875, 1736876640.0]",1736876637,2,unified,0.0010864734649658203,0.19649243354797363,0.04156136512756348,0.07282018661499023,0.21162700653076172,0.6227481365203857
