timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1737126911.0842252,1737126911.165826,1737126911.1659436,1737126915.108104,1737126915.108174,"[1737126915.321212, 1737126915.521212, 1737126915.721212, 1737126915.921212, 1737126916.121212]",1737126910,2,unified,0.0012793540954589844,0.15022587776184082,0.09680008888244629,0.2339491844177246,0.6551837921142578,2.778707504272461
1737126919.9975116,1737126919.99825,1737126919.998326,1737126922.4086332,1737126922.40871,"[1737126922.6212635, 1737126922.8212636, 1737126923.0212634, 1737126923.2212634, 1737126923.4212635]",1737126919,2,unified,0.0008878707885742188,0.1542985439300537,0.029043197631835938,0.13139986991882324,0.14248108863830566,1.9306151866912842
1737126934.0494351,1737126934.0502028,1737126934.0502818,1737126936.220077,1737126936.2201552,"[1737126936.4321663, 1737126936.6321664, 1737126936.8321662, 1737126937.0321662, 1737126937.2321663]",1737126933,2,unified,0.0008525848388671875,0.15668892860412598,0.024129867553710938,0.13088488578796387,0.1434025764465332,1.6913173198699951
1737126944.006116,1737126944.0068648,1737126944.0069473,1737126946.3872705,1737126946.3873534,"[1737126946.5952542, 1737126946.7952542, 1737126946.995254, 1737126947.195254, 1737126947.3952541]",1737126943,2,unified,0.0008418560028076172,0.16196227073669434,0.03021097183227539,0.13520598411560059,0.15966129302978516,1.8732571601867676
