timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1737033429.3704257,1737033429.3714657,1737033429.3715453,1737033431.7234223,1737033431.7238188,"[1737033432.2, 1737033432.4, 1737033432.6, 1737033432.8, 1737033433.0]",1737033429,2,unified,0.0010552406311035156,0.1361246109008789,0.09048724174499512,0.14389705657958984,0.5887513160705566,1.3556091785430908
1737033430.034048,1737033430.035255,1737033430.0353901,1737033432.804864,1737033432.8476684,"[1737033433.2, 1737033433.4, 1737033433.6, 1737033433.8, 1737033434.0]",1737033430,2,unified,0.29571008682250977,0.13367104530334473,0.018614530563354492,0.1599283218383789,0.18777871131896973,1.089547872543335
1737033431.0384934,1737033431.0395074,1737033431.0396168,1737033433.9034152,1737033433.9039404,"[1737033434.2, 1737033434.4, 1737033434.6, 1737033434.8, 1737033435.0]",1737033431,2,unified,0.0019147396087646484,0.13576793670654297,0.4724617004394531,0.12711882591247559,0.12154150009155273,1.1046054363250732
1737033432.0392032,1737033432.0397246,1737033432.0397885,1737033434.6495416,1737033434.650289,"[1737033435.2, 1737033435.4, 1737033435.6, 1737033435.8, 1737033436.0]",1737033432,2,unified,0.0008027553558349609,0.13513827323913574,0.5488476753234863,0.13132214546203613,0.11926674842834473,0.7565953731536865
1737033433.0388875,1737033433.0395055,1737033433.0395763,1737033435.2458248,1737033435.2463353,"[1737033436.2, 1737033436.4, 1737033436.6, 1737033436.8, 1737033437.0]",1737033433,2,unified,0.01147603988647461,0.13396239280700684,0.6492536067962646,0.10790133476257324,0.09792900085449219,0.5961811542510986
1737033434.0393808,1737033434.0406291,1737033434.040747,1737033435.9068155,1737033435.90775,"[1737033437.2, 1737033437.4, 1737033437.6, 1737033437.8, 1737033438.0]",1737033434,2,unified,0.0011255741119384766,0.1317896842956543,0.020786523818969727,0.4397439956665039,0.08286643028259277,0.66023850440979
1737033435.0389085,1737033435.0395124,1737033435.0395882,1737033436.4874163,1737033436.4874918,"[1737033438.2, 1737033438.4, 1737033438.6, 1737033438.8, 1737033439.0]",1737033435,2,unified,0.06414031982421875,0.1313321590423584,0.036278486251831055,0.11876106262207031,0.1265571117401123,0.58180832862854
1737033436.0390394,1737033436.0396519,1737033436.0397556,1737033437.1295888,1737033437.129679,"[1737033439.2, 1737033439.4, 1737033439.6, 1737033439.8, 1737033440.0]",1737033436,2,unified,0.004564046859741211,0.13223481178283691,0.2521476745605469,0.09382915496826172,0.0730898380279541,0.524590015411377
1737033437.0390341,1737033437.0396304,1737033437.0397134,1737033437.9195726,1737033437.919644,"[1737033440.2, 1737033440.4, 1737033440.6, 1737033440.8, 1737033441.0]",1737033437,2,unified,0.014655351638793945,0.13237547874450684,0.018323183059692383,0.06945943832397461,0.07436752319335938,0.561307430267334
1737033438.0377393,1737033438.0383062,1737033438.0383892,1737033438.9190786,1737033438.919152,"[1737033441.2, 1737033441.4, 1737033441.6, 1737033441.8, 1737033442.0]",1737033438,2,unified,0.0007975101470947266,0.1309218406677246,0.018175125122070312,0.06983447074890137,0.07605409622192383,0.5748987197875977
