timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1736610340.2246492,1736610340.2255769,1736610340.2257042,1736610342.5541918,1736610342.5543113,"[1736610343.1666667, 1736610343.3333333, 1736610343.5, 1736610343.6666667, 1736610343.8333333, 1736610344.0]",1736610340,2,unified,0.0011446475982666016,0.14800548553466797,0.12956476211547852,0.13616633415222168,0.6909174919128418,1.1922266483306885
1736610341.625244,1736610341.6263745,1736610341.6264908,1736610344.1267061,1736610344.1268015,"[1736610344.1666667, 1736610344.3333333, 1736610344.5, 1736610344.6666667, 1736610344.8333333, 1736610345.0]",1736610341,2,unified,0.004328012466430664,0.1636061668395996,0.08826398849487305,0.616713285446167,0.22223734855651855,1.3723304271697998
1736610343.2390373,1736610343.2397654,1736610343.2398438,1736610345.794664,1736610345.794748,"[1736610346.1666667, 1736610346.3333333, 1736610346.5, 1736610346.6666667, 1736610346.8333333, 1736610347.0]",1736610343,2,unified,0.026269912719726562,0.17077898979187012,0.6701908111572266,0.10513687133789062,0.21041464805603027,1.348484992980957
1736610344.6231885,1736610344.6238363,1736610344.6239145,1736610347.1395404,1736610347.1396217,"[1736610347.1666667, 1736610347.3333333, 1736610347.5, 1736610347.6666667, 1736610347.8333333, 1736610348.0]",1736610344,2,unified,0.012957334518432617,0.16761422157287598,0.9775052070617676,0.10015678405761719,0.196885347366333,1.0461657047271729
1736610347.31554,1736610347.3161597,1736610347.3162293,1736610348.9715898,1736610348.9716885,"[1736610350.1666667, 1736610350.3333333, 1736610350.5, 1736610350.6666667, 1736610350.8333333, 1736610351.0]",1736610347,2,unified,0.0010466575622558594,0.16256165504455566,0.03517603874206543,0.09009170532226562,0.19936609268188477,1.1392457485198975
1736610348.6266687,1736610348.6272464,1736610348.6273167,1736610350.2049775,1736610350.2051353,"[1736610351.1666667, 1736610351.3333333, 1736610351.5, 1736610351.6666667, 1736610351.8333333, 1736610352.0]",1736610348,2,unified,0.08663153648376465,0.16596007347106934,0.08077406883239746,0.10091781616210938,0.19723105430603027,0.9192793369293213
1736610349.9345636,1736610349.935283,1736610349.93538,1736610352.0723307,1736610352.072407,"[1736610352.1666667, 1736610352.3333333, 1736610352.5, 1736610352.6666667, 1736610352.8333333, 1736610353.0]",1736610349,2,unified,0.041797637939453125,0.17303013801574707,0.07383036613464355,0.10795092582702637,0.21624231338500977,1.4946155548095703
1736610351.241825,1736610351.242495,1736610351.2428544,1736610353.3649578,1736610353.3650365,"[1736610354.1666667, 1736610354.3333333, 1736610354.5, 1736610354.6666667, 1736610354.8333333, 1736610355.0]",1736610351,2,unified,0.025833845138549805,0.16043949127197266,0.6288571357727051,0.09203410148620605,0.20550131797790527,0.9934372901916504
1736610352.3169708,1736610352.3176847,1736610352.317752,1736610354.308372,1736610354.3084636,"[1736610355.1666667, 1736610355.3333333, 1736610355.5, 1736610355.6666667, 1736610355.8333333, 1736610356.0]",1736610352,2,unified,0.0007107257843017578,0.1633129119873047,0.13548970222473145,0.7186799049377441,0.20177912712097168,0.7538201808929443
1736610353.6247268,1736610353.625502,1736610353.625578,1736610355.2365777,1736610355.2366438,"[1736610356.1666667, 1736610356.3333333, 1736610356.5, 1736610356.6666667, 1736610356.8333333, 1736610357.0]",1736610353,2,unified,0.00078582763671875,0.15981626510620117,0.5032966136932373,0.08613944053649902,0.18240809440612793,0.655949592590332
1736610354.9354854,1736610354.9365332,1736610354.9366288,1736610356.9762287,1736610356.9763205,"[1736610357.1666667, 1736610357.3333333, 1736610357.5, 1736610357.6666667, 1736610357.8333333, 1736610358.0]",1736610354,2,unified,0.03521871566772461,0.16825342178344727,0.0897068977355957,0.11167192459106445,0.21744608879089355,1.385911464691162
1736610356.2387652,1736610356.2393243,1736610356.239394,1736610358.211632,1736610358.2117195,"[1736610359.1666667, 1736610359.3333333, 1736610359.5, 1736610359.6666667, 1736610359.8333333, 1736610360.0]",1736610356,2,unified,0.011310577392578125,0.16349220275878906,0.5513696670532227,0.09531688690185547,0.195159912109375,0.9257609844207764
1736610357.6239574,1736610357.6248653,1736610357.6250272,1736610360.395507,1736610360.395583,"[1736610360.1666667, 1736610360.3333333, 1736610360.5, 1736610360.6666667, 1736610360.8333333, 1736610361.0]",1736610357,2,unified,0.04055070877075195,0.17167162895202637,0.3661642074584961,0.10347390174865723,0.22430014610290527,1.8316683769226074
1736610358.6235518,1736610358.624192,1736610358.6242843,1736610361.932918,1736610361.9341311,"[1736610361.1666667, 1736610361.3333333, 1736610361.5, 1736610361.6666667, 1736610361.8333333, 1736610362.0]",1736610358,2,unified,0.0026569366455078125,0.1679401397705078,0.7424101829528809,0.8327672481536865,0.2684006690979004,1.2434206008911133
1736610359.93452,1736610360.0101576,1736610360.0102828,1736610363.129306,1736610363.1304135,"[1736610362.1666667, 1736610362.3333333, 1736610362.5, 1736610362.6666667, 1736610362.8333333, 1736610363.0]",1736610359,2,unified,0.014970541000366211,0.17102742195129395,0.18538594245910645,0.09357571601867676,0.32680773735046387,1.180485725402832
1736610361.2407985,1736610361.2414434,1736610361.2418602,1736610364.1495817,1736610364.150771,"[1736610364.1666667, 1736610364.3333333, 1736610364.5, 1736610364.6666667, 1736610364.8333333, 1736610365.0]",1736610361,2,unified,0.00651240348815918,0.16633391380310059,0.5042221546173096,0.13107562065124512,0.9578382968902588,1.0563528537750244
1736610362.3177137,1736610362.318244,1736610362.318322,1736610365.0544727,1736610365.0586553,"[1736610365.1666667, 1736610365.3333333, 1736610365.5, 1736610365.6666667, 1736610365.8333333, 1736610366.0]",1736610362,2,unified,0.1421527862548828,0.16731500625610352,0.45393848419189453,0.13314366340637207,0.8430781364440918,0.9032340049743652
1736610363.3175468,1736610363.3181531,1736610363.3182323,1736610365.9620283,1736610365.969098,"[1736610366.1666667, 1736610366.3333333, 1736610366.5, 1736610366.6666667, 1736610366.8333333, 1736610367.0]",1736610363,2,unified,0.021563053131103516,0.18272089958190918,0.6154642105102539,0.1245260238647461,0.7714400291442871,0.903876543045044
1736610364.3145776,1736610364.3152,1736610364.3152695,1736610366.8192494,1736610366.820478,"[1736610367.1666667, 1736610367.3333333, 1736610367.5, 1736610367.6666667, 1736610367.8333333, 1736610368.0]",1736610364,2,unified,0.002585887908935547,0.1737687587738037,0.5199329853057861,0.13524532318115234,0.6139748096466064,0.8398385047912598
1736610365.3142703,1736610365.3194637,1736610365.3195615,1736610367.7034883,1736610367.7046356,"[1736610368.1666667, 1736610368.3333333, 1736610368.5, 1736610368.6666667, 1736610368.8333333, 1736610369.0]",1736610365,2,unified,0.0009169578552246094,0.16211938858032227,0.47212862968444824,0.116455078125,0.6626474857330322,0.8776335716247559
1736610366.3149185,1736610366.3155158,1736610366.3155923,1736610368.6032708,1736610368.6061575,"[1736610369.1666667, 1736610369.3333333, 1736610369.5, 1736610369.6666667, 1736610369.8333333, 1736610370.0]",1736610366,2,unified,0.044347524642944336,0.17344307899475098,0.26555967330932617,0.11755704879760742,0.6961531639099121,0.924530029296875
1736610367.3151317,1736610367.3156831,1736610367.3157609,1736610369.332766,1736610369.3340218,"[1736610370.1666667, 1736610370.3333333, 1736610370.5, 1736610370.6666667, 1736610370.8333333, 1736610371.0]",1736610367,2,unified,0.016333580017089844,0.17052531242370605,0.17621469497680664,0.12442374229431152,0.73280930519104,0.736821174621582
1736610368.3149276,1736610368.3154666,1736610368.3155444,1736610369.8514748,1736610369.8515494,"[1736610371.1666667, 1736610371.3333333, 1736610371.5, 1736610371.6666667, 1736610371.8333333, 1736610372.0]",1736610368,2,unified,0.040621280670166016,0.1556398868560791,0.08683323860168457,0.11063551902770996,0.5755617618560791,0.5214214324951172
1736610369.3147745,1736610369.3152807,1736610369.315358,1736610370.09735,1736610370.0974433,"[1736610372.1666667, 1736610372.3333333, 1736610372.5, 1736610372.6666667, 1736610372.8333333, 1736610373.0]",1736610369,2,unified,0.004213809967041016,0.13814353942871094,0.05099987983703613,0.317002534866333,0.13465571403503418,0.13245439529418945
