timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1736609265.5567622,1736609265.557678,1736609265.5577905,1736609267.9431856,1736609267.944256,"[1736609268.1111112, 1736609268.2222223, 1736609268.3333333, 1736609268.4444444, 1736609268.5555556, 1736609268.6666667, 1736609268.7777777, 1736609268.8888888, 1736609269.0]",1736609265,2,unified,0.0011646747589111328,0.24384045600891113,0.1353921890258789,0.1266186237335205,0.7386915683746338,1.1184382438659668
1736609266.3132534,1736609266.3141596,1736609266.3142738,1736609268.655942,1736609268.6571174,"[1736609269.1111112, 1736609269.2222223, 1736609269.3333333, 1736609269.4444444, 1736609269.5555556, 1736609269.6666667, 1736609269.7777777, 1736609269.8888888, 1736609270.0]",1736609266,2,unified,0.29632091522216797,0.21273565292358398,0.08591818809509277,0.07652497291564941,0.8486738204956055,0.6881115436553955
1736609267.3145661,1736609267.3153782,1736609267.3154776,1736609269.2208498,1736609269.2209225,"[1736609270.1111112, 1736609270.2222223, 1736609270.3333333, 1736609270.4444444, 1736609270.5555556, 1736609270.6666667, 1736609270.7777777, 1736609270.8888888, 1736609271.0]",1736609267,2,unified,0.001455068588256836,0.2206730842590332,0.3945424556732178,0.08246922492980957,0.6186599731445312,0.5719761848449707
1736609268.3173933,1736609268.3179772,1736609268.3180552,1736609269.7633336,1736609269.7633977,"[1736609271.1111112, 1736609271.2222223, 1736609271.3333333, 1736609271.4444444, 1736609271.5555556, 1736609271.6666667, 1736609271.7777777, 1736609271.8888888, 1736609272.0]",1736609268,2,unified,0.03678774833679199,0.22722578048706055,0.11007499694824219,0.07091808319091797,0.4970583915710449,0.4841182231903076
1736609269.315931,1736609269.3167493,1736609269.31682,1736609270.570394,1736609270.5704567,"[1736609272.1111112, 1736609272.2222223, 1736609272.3333333, 1736609272.4444444, 1736609272.5555556, 1736609272.6666667, 1736609272.7777777, 1736609272.8888888, 1736609273.0]",1736609269,2,unified,0.0009295940399169922,0.22127914428710938,0.21907520294189453,0.0593256950378418,0.20991230010986328,0.5284576416015625
1736609270.3146243,1736609270.3151386,1736609270.3156018,1736609271.34529,1736609271.345352,"[1736609273.1111112, 1736609273.2222223, 1736609273.3333333, 1736609273.4444444, 1736609273.5555556, 1736609273.6666667, 1736609273.7777777, 1736609273.8888888, 1736609274.0]",1736609270,2,unified,0.02344536781311035,0.21618127822875977,0.04561591148376465,0.05585670471191406,0.21867084503173828,0.4584970474243164
1736609271.3145294,1736609271.3150375,1736609271.3152437,1736609272.2966657,1736609272.2967336,"[1736609274.1111112, 1736609274.2222223, 1736609274.3333333, 1736609274.4444444, 1736609274.5555556, 1736609274.6666667, 1736609274.7777777, 1736609274.8888888, 1736609275.0]",1736609271,2,unified,0.0008785724639892578,0.21026325225830078,0.04388904571533203,0.05638480186462402,0.2099156379699707,0.44916272163391113
1736609272.9341154,1736609272.9348466,1736609272.9349227,1736609274.5664136,1736609274.5664973,"[1736609275.1111112, 1736609275.2222223, 1736609275.3333333, 1736609275.4444444, 1736609275.5555556, 1736609275.6666667, 1736609275.7777777, 1736609275.8888888, 1736609276.0]",1736609272,2,unified,0.0012590885162353516,0.22022151947021484,0.04746294021606445,0.09061646461486816,0.243027925491333,1.013129472732544
1736609274.8544834,1736609274.8552017,1736609274.8552763,1736609276.2832062,1736609276.2832747,"[1736609277.1111112, 1736609277.2222223, 1736609277.3333333, 1736609277.4444444, 1736609277.5555556, 1736609277.6666667, 1736609277.7777777, 1736609277.8888888, 1736609278.0]",1736609274,2,unified,0.0011436939239501953,0.21800994873046875,0.04473757743835449,0.08468794822692871,0.24680495262145996,0.8119425773620605
1736609276.2381208,1736609276.238731,1736609276.2388074,1736609277.5050747,1736609277.5051525,"[1736609279.1111112, 1736609279.2222223, 1736609279.3333333, 1736609279.4444444, 1736609279.5555556, 1736609279.6666667, 1736609279.7777777, 1736609279.8888888, 1736609280.0]",1736609276,2,unified,0.0010602474212646484,0.22071218490600586,0.04592013359069824,0.08220434188842773,0.24284815788269043,0.6585483551025391
1736609277.3163474,1736609277.3171802,1736609277.317278,1736609278.6642158,1736609278.6642728,"[1736609280.1111112, 1736609280.2222223, 1736609280.3333333, 1736609280.4444444, 1736609280.5555556, 1736609280.6666667, 1736609280.7777777, 1736609280.8888888, 1736609281.0]",1736609277,2,unified,0.024867773056030273,0.21728873252868652,0.04789280891418457,0.07898879051208496,0.23587703704833984,0.7267265319824219
1736609278.6246746,1736609278.6252599,1736609278.625334,1736609279.7683082,1736609279.768408,"[1736609281.1111112, 1736609281.2222223, 1736609281.3333333, 1736609281.4444444, 1736609281.5555556, 1736609281.6666667, 1736609281.7777777, 1736609281.8888888, 1736609282.0]",1736609278,2,unified,0.0035734176635742188,0.21741223335266113,0.04232025146484375,0.07855057716369629,0.22704696655273438,0.5599658489227295
1736609279.931533,1736609279.9322271,1736609279.9323125,1736609281.1033194,1736609281.1033897,"[1736609282.1111112, 1736609282.2222223, 1736609282.3333333, 1736609282.4444444, 1736609282.5555556, 1736609282.6666667, 1736609282.7777777, 1736609282.8888888, 1736609283.0]",1736609279,2,unified,0.0011529922485351562,0.2125704288482666,0.04355454444885254,0.0879976749420166,0.23800420761108398,0.5744645595550537
1736609281.240546,1736609281.2410896,1736609281.2412386,1736609282.3401258,1736609282.340209,"[1736609284.1111112, 1736609284.2222223, 1736609284.3333333, 1736609284.4444444, 1736609284.5555556, 1736609284.6666667, 1736609284.7777777, 1736609284.8888888, 1736609285.0]",1736609281,2,unified,0.001132965087890625,0.2120199203491211,0.04990887641906738,0.07895493507385254,0.2372725009918213,0.505814790725708
1736609282.316914,1736609282.3178015,1736609282.3181083,1736609283.7007685,1736609283.7008424,"[1736609285.1111112, 1736609285.2222223, 1736609285.3333333, 1736609285.4444444, 1736609285.5555556, 1736609285.6666667, 1736609285.7777777, 1736609285.8888888, 1736609286.0]",1736609282,2,unified,0.0014982223510742188,0.22020792961120605,0.051045894622802734,0.0960392951965332,0.26338815689086914,0.736741304397583
1736609283.9328027,1736609283.9339445,1736609283.934366,1736609285.5971284,1736609285.5973964,"[1736609286.1111112, 1736609286.2222223, 1736609286.3333333, 1736609286.4444444, 1736609286.5555556, 1736609286.6666667, 1736609286.7777777, 1736609286.8888888, 1736609287.0]",1736609283,2,unified,0.000997781753540039,0.22614097595214844,0.06373906135559082,0.10438060760498047,0.2697439193725586,0.9824225902557373
1736609286.6253965,1736609286.626031,1736609286.6261103,1736609288.1236427,1736609288.1237082,"[1736609289.1111112, 1736609289.2222223, 1736609289.3333333, 1736609289.4444444, 1736609289.5555556, 1736609289.6666667, 1736609289.7777777, 1736609289.8888888, 1736609290.0]",1736609286,2,unified,0.0010025501251220703,0.2134997844696045,0.05798649787902832,0.0936269760131836,0.250171422958374,0.8632910251617432
1736609287.9323905,1736609287.9330695,1736609287.9331415,1736609289.710123,1736609289.7101948,"[1736609290.1111112, 1736609290.2222223, 1736609290.3333333, 1736609290.4444444, 1736609290.5555556, 1736609290.6666667, 1736609290.7777777, 1736609290.8888888, 1736609291.0]",1736609287,2,unified,0.0024826526641845703,0.22977828979492188,0.055223703384399414,0.10200309753417969,0.2670154571533203,1.10209321975708
