timestamps_client_received,timestamps_decoder_received,timestamps_codec_start,timestamps_codec_end,timestamps_decoder_finished,timestamps_playout,ID,quality,codec_info,time_measurements_bitstream_reading,time_measurements_geometry_decompression,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_guassian_model,time_measurements_synthesis_transform
1736875655.113446,1736875655.1143637,1736875655.114443,1736875656.8213122,1736875656.8221579,"[1736875657.3333333, 1736875657.6666667, 1736875658.0]",1736875655,2,unified,0.0010287761688232422,0.0795297622680664,0.1209418773651123,0.11005878448486328,0.5966269969940186,0.7909524440765381
1736875656.118465,1736875656.1199732,1736875656.1201127,1736875657.1889515,1736875657.1890144,"[1736875658.3333333, 1736875658.6666667, 1736875659.0]",1736875656,2,unified,0.0011758804321289062,0.07737231254577637,0.12270665168762207,0.06678295135498047,0.23856329917907715,0.36788272857666016
1736875657.2305706,1736875657.231074,1736875657.23115,1736875657.7531111,1736875657.7531912,"[1736875659.3333333, 1736875659.6666667, 1736875660.0]",1736875657,2,unified,0.0009508132934570312,0.07927918434143066,0.019292354583740234,0.04366135597229004,0.08879327774047852,0.28474879264831543
1736875658.1159027,1736875658.1164048,1736875658.1164749,1736875658.5713558,1736875658.5714207,"[1736875660.3333333, 1736875660.6666667, 1736875661.0]",1736875658,2,unified,0.0010066032409667969,0.07645654678344727,0.019116878509521484,0.0399167537689209,0.08408498764038086,0.22960400581359863
1736875659.2265992,1736875659.2271962,1736875659.2272754,1736875659.686039,1736875659.6861053,"[1736875661.3333333, 1736875661.6666667, 1736875662.0]",1736875659,2,unified,0.0009248256683349609,0.07623028755187988,0.017418384552001953,0.03997373580932617,0.08228778839111328,0.23652076721191406
1736875660.2272394,1736875660.227731,1736875660.2277982,1736875660.6149135,1736875660.6149788,"[1736875662.3333333, 1736875662.6666667, 1736875663.0]",1736875660,2,unified,0.0009181499481201172,0.07483148574829102,0.01740717887878418,0.03717398643493652,0.0787057876586914,0.17425942420959473
1736875661.2262638,1736875661.2267666,1736875661.226835,1736875661.660457,1736875661.66053,"[1736875663.3333333, 1736875663.6666667, 1736875664.0]",1736875661,2,unified,0.0009207725524902344,0.07815694808959961,0.01942729949951172,0.035012006759643555,0.08000349998474121,0.21538376808166504
1736875662.3327928,1736875662.3333032,1736875662.333383,1736875662.7961497,1736875662.7962155,"[1736875664.3333333, 1736875664.6666667, 1736875665.0]",1736875662,2,unified,0.001123666763305664,0.07672119140625,0.0186154842376709,0.04120612144470215,0.08665728569030762,0.23364615440368652
1736875663.116279,1736875663.1168735,1736875663.1169538,1736875663.6681745,1736875663.6682503,"[1736875665.3333333, 1736875665.6666667, 1736875666.0]",1736875663,2,unified,0.0010302066802978516,0.07873725891113281,0.018438100814819336,0.043901681900024414,0.09163641929626465,0.312023401260376
1736875664.2311192,1736875664.2316818,1736875664.2317574,1736875664.8974552,1736875664.897526,"[1736875666.3333333, 1736875666.6666667, 1736875667.0]",1736875664,2,unified,0.0009551048278808594,0.07893562316894531,0.01847529411315918,0.04949498176574707,0.09382343292236328,0.41823673248291016
1736875665.1154354,1736875665.1159675,1736875665.1160371,1736875665.6208515,1736875665.6209207,"[1736875667.3333333, 1736875667.6666667, 1736875668.0]",1736875665,2,unified,0.0009551048278808594,0.07855916023254395,0.017271757125854492,0.041696786880493164,0.08962559700012207,0.271378755569458
1736875666.1159432,1736875666.1164787,1736875666.1165543,1736875666.5721612,1736875666.5722265,"[1736875668.3333333, 1736875668.6666667, 1736875669.0]",1736875666,2,unified,0.0010540485382080078,0.07567477226257324,0.018579483032226562,0.03841710090637207,0.08238339424133301,0.23476672172546387
1736875667.1159246,1736875667.1164775,1736875667.1165435,1736875667.570988,1736875667.5710573,"[1736875669.3333333, 1736875669.6666667, 1736875670.0]",1736875667,2,unified,0.0009362697601318359,0.07519006729125977,0.01705479621887207,0.039659738540649414,0.08220601081848145,0.23459815979003906
1736875668.1193423,1736875668.1199872,1736875668.1200519,1736875668.570868,1736875668.570938,"[1736875670.3333333, 1736875670.6666667, 1736875671.0]",1736875668,2,unified,0.0007798671722412109,0.07531881332397461,0.01739358901977539,0.03799724578857422,0.0833127498626709,0.23064923286437988
1736875669.1148703,1736875669.115432,1736875669.1154988,1736875669.5731122,1736875669.5731936,"[1736875671.3333333, 1736875671.6666667, 1736875672.0]",1736875669,2,unified,0.0009517669677734375,0.07658004760742188,0.018790245056152344,0.0403590202331543,0.08087897300720215,0.2346794605255127
1736875670.2263258,1736875670.2268672,1736875670.2269373,1736875670.6705527,1736875670.67062,"[1736875672.3333333, 1736875672.6666667, 1736875673.0]",1736875670,2,unified,0.0009238719940185547,0.07526779174804688,0.01801919937133789,0.03835582733154297,0.08037066459655762,0.2250070571899414
1736875671.2227242,1736875671.2233253,1736875671.2234027,1736875671.6732655,1736875671.6735468,"[1736875673.3333333, 1736875673.6666667, 1736875674.0]",1736875671,2,unified,0.0009381771087646484,0.07690143585205078,0.02284693717956543,0.039910316467285156,0.08015966415405273,0.2241206169128418
1736875672.2276983,1736875672.2282844,1736875672.228358,1736875672.6850739,1736875672.68515,"[1736875674.3333333, 1736875674.6666667, 1736875675.0]",1736875672,2,unified,0.0009329319000244141,0.0716404914855957,0.02480626106262207,0.03966069221496582,0.08133769035339355,0.23331069946289062
